"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","357"
"eastern cape","Public Health","1865"
"free state","Private Health","172"
"free state","Public Health","1358"
"gauteng","Private Health","1754"
"gauteng","Public Health","2238"
"kwazulu-natal","Private Health","366"
"kwazulu-natal","Public Health","2225"
"limpopo","Private Health","248"
"limpopo","Public Health","1545"
"mpumalanga","Private Health","228"
"mpumalanga","Public Health","2027"
"northern cape","Private Health","32"
"northern cape","Public Health","773"
"north west","Private Health","180"
"north west","Public Health","735"
"western cape","Private Health","511"
"western cape","Public Health","908"
