"vaccine_manufacturer","province","district","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Amathole DM","Adults","102828"
"Janssen Vaccines & Prevention B.V","eastern cape","A Nzo DM","Adults","119843"
"Janssen Vaccines & Prevention B.V","eastern cape","Buffalo City MM","Adults","72120"
"Janssen Vaccines & Prevention B.V","eastern cape","C Hani DM","Adults","107492"
"Janssen Vaccines & Prevention B.V","eastern cape","Joe Gqabi DM","Adults","51388"
"Janssen Vaccines & Prevention B.V","eastern cape","N Mandela Bay MM","Adults","165674"
"Janssen Vaccines & Prevention B.V","eastern cape","O Tambo DM","Adults","211891"
"Janssen Vaccines & Prevention B.V","eastern cape","Sarah Baartman DM","Adults","90786"
"Janssen Vaccines & Prevention B.V","free state","Fezile Dabi DM","Adults","81260"
"Janssen Vaccines & Prevention B.V","free state","Lejweleputswa DM","Adults","75997"
"Janssen Vaccines & Prevention B.V","free state","Mangaung MM","Adults","153550"
"Janssen Vaccines & Prevention B.V","free state","T Mofutsanyana DM","Adults","144755"
"Janssen Vaccines & Prevention B.V","free state","Xhariep DM","Adults","33364"
"Janssen Vaccines & Prevention B.V","gauteng","Ekurhuleni MM","Adults","325846"
"Janssen Vaccines & Prevention B.V","gauteng","Johannesburg MM","Adults","558597"
"Janssen Vaccines & Prevention B.V","gauteng","Sedibeng DM","Adults","102656"
"Janssen Vaccines & Prevention B.V","gauteng","Tshwane MM","Adults","468430"
"Janssen Vaccines & Prevention B.V","gauteng","West Rand DM","Adults","107811"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Amajuba DM","Adults","80048"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","eThekwini MM","Adults","344281"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Harry Gwala DM","Adults","58735"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","iLembe DM","Adults","63769"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","King Cetshwayo DM","Adults","102828"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Ugu DM","Adults","67764"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","uMgungundlovu DM","Adults","141452"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Umkhanyakude DM","Adults","102677"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Umzinyathi DM","Adults","97556"
