"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","153","37","190"
"National","eastern cape","Amathole DM","Private Health","Male","95","18","113"
"National","eastern cape","Amathole DM","Public Health","Female","13960","4779","18739"
"National","eastern cape","Amathole DM","Public Health","Male","11859","3957","15816"
"National","eastern cape","A Nzo DM","Public Health","Female","30275","14713","44988"
"National","eastern cape","A Nzo DM","Public Health","Male","26333","11130","37463"
"National","eastern cape","Buffalo City MM","Private Health","Female","2875","1184","4059"
"National","eastern cape","Buffalo City MM","Private Health","Male","2343","903","3246"
"National","eastern cape","Buffalo City MM","Public Health","Female","16181","9158","25339"
"National","eastern cape","Buffalo City MM","Public Health","Male","12575","6302","18877"
"National","eastern cape","C Hani DM","Private Health","Female","224","102","326"
"National","eastern cape","C Hani DM","Private Health","Male","158","74","232"
"National","eastern cape","C Hani DM","Public Health","Female","13949","3624","17573"
"National","eastern cape","C Hani DM","Public Health","Male","11221","2644","13865"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","660","366","1026"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","502","217","719"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7850","2702","10552"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","7027","2151","9178"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","4118","2065","6183"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3713","1723","5436"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15647","6396","22043"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12180","4491","16671"
"National","eastern cape","O Tambo DM","Private Health","Female","314","122","436"
"National","eastern cape","O Tambo DM","Private Health","Male","253","113","366"
"National","eastern cape","O Tambo DM","Public Health","Female","43681","16763","60444"
"National","eastern cape","O Tambo DM","Public Health","Male","36507","12457","48964"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1587","1089","2676"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1376","823","2199"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9618","5335","14953"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","8076","3960","12036"
"National","free state","Fezile Dabi DM","Private Health","Female","471","343","814"
"National","free state","Fezile Dabi DM","Private Health","Male","449","286","735"
"National","free state","Fezile Dabi DM","Public Health","Female","13262","4998","18260"
"National","free state","Fezile Dabi DM","Public Health","Male","10812","3630","14442"
"National","free state","Lejweleputswa DM","Private Health","Female","3807","1463","5270"
"National","free state","Lejweleputswa DM","Private Health","Male","3048","1105","4153"
"National","free state","Lejweleputswa DM","Public Health","Female","14130","5271","19401"
"National","free state","Lejweleputswa DM","Public Health","Male","12111","3710","15821"
"National","free state","Mangaung MM","Private Health","Female","2948","1748","4696"
"National","free state","Mangaung MM","Private Health","Male","2429","1326","3755"
"National","free state","Mangaung MM","Public Health","Female","23563","13890","37453"
"National","free state","Mangaung MM","Public Health","Male","21050","11198","32248"
"National","free state","T Mofutsanyana DM","Private Health","Female","1867","1136","3003"
"National","free state","T Mofutsanyana DM","Private Health","Male","1592","923","2515"
"National","free state","T Mofutsanyana DM","Public Health","Female","26928","15446","42374"
"National","free state","T Mofutsanyana DM","Public Health","Male","23115","11600","34715"
"National","free state","Xhariep DM","Public Health","Female","4277","1191","5468"
"National","free state","Xhariep DM","Public Health","Male","3510","798","4308"
"National","gauteng","Ekurhuleni MM","Private Health","Female","10883","6632","17515"
"National","gauteng","Ekurhuleni MM","Private Health","Male","10028","5638","15666"
"National","gauteng","Ekurhuleni MM","Public Health","Female","40995","15328","56323"
"National","gauteng","Ekurhuleni MM","Public Health","Male","32394","11154","43548"
"National","gauteng","Johannesburg MM","Private Health","Female","25474","13800","39274"
"National","gauteng","Johannesburg MM","Private Health","Male","23269","11975","35244"
"National","gauteng","Johannesburg MM","Public Health","Female","46562","16871","63433"
"National","gauteng","Johannesburg MM","Public Health","Male","37671","13144","50815"
"National","gauteng","Sedibeng DM","Private Health","Female","1607","1023","2630"
"National","gauteng","Sedibeng DM","Private Health","Male","1442","701","2143"
"National","gauteng","Sedibeng DM","Public Health","Female","13847","5928","19775"
"National","gauteng","Sedibeng DM","Public Health","Male","10889","4546","15435"
"National","gauteng","Tshwane MM","Private Health","Female","11583","6663","18246"
"National","gauteng","Tshwane MM","Private Health","Male","11028","6013","17041"
"National","gauteng","Tshwane MM","Public Health","Female","39909","18591","58500"
"National","gauteng","Tshwane MM","Public Health","Male","30809","13021","43830"
"National","gauteng","West Rand DM","Private Health","Female","2203","1516","3719"
"National","gauteng","West Rand DM","Private Health","Male","1828","1231","3059"
"National","gauteng","West Rand DM","Public Health","Female","17505","8791","26296"
"National","gauteng","West Rand DM","Public Health","Male","14331","6569","20900"
"National","kwazulu-natal","Amajuba DM","Private Health","Female","214","72","286"
"National","kwazulu-natal","Amajuba DM","Private Health","Male","184","57","241"
"National","kwazulu-natal","Amajuba DM","Public Health","Female","6572","2832","9404"
"National","kwazulu-natal","Amajuba DM","Public Health","Male","4236","1750","5986"
"National","kwazulu-natal","eThekwini MM","Private Health","Female","11889","7011","18900"
"National","kwazulu-natal","eThekwini MM","Private Health","Male","11049","6185","17234"
"National","kwazulu-natal","eThekwini MM","Public Health","Female","14448","5506","19954"
"National","kwazulu-natal","eThekwini MM","Public Health","Male","11773","4421","16194"
"National","kwazulu-natal","Harry Gwala DM","Private Health","Female","361","167","528"
"National","kwazulu-natal","Harry Gwala DM","Private Health","Male","346","136","482"
"National","kwazulu-natal","Harry Gwala DM","Public Health","Female","13024","7752","20776"
"National","kwazulu-natal","Harry Gwala DM","Public Health","Male","10195","5621","15816"
"National","kwazulu-natal","iLembe DM","Private Health","Female","549","334","883"
"National","kwazulu-natal","iLembe DM","Private Health","Male","484","281","765"
"National","kwazulu-natal","iLembe DM","Public Health","Female","8379","4150","12529"
"National","kwazulu-natal","iLembe DM","Public Health","Male","4950","2207","7157"
"National","kwazulu-natal","King Cetshwayo DM","Private Health","Female","331","135","466"
"National","kwazulu-natal","King Cetshwayo DM","Private Health","Male","310","95","405"
"National","kwazulu-natal","King Cetshwayo DM","Public Health","Female","12447","5076","17523"
"National","kwazulu-natal","King Cetshwayo DM","Public Health","Male","8072","3097","11169"
"National","kwazulu-natal","Ugu DM","Private Health","Female","901","559","1460"
"National","kwazulu-natal","Ugu DM","Private Health","Male","716","427","1143"
"National","kwazulu-natal","Ugu DM","Public Health","Female","12407","5124","17531"
"National","kwazulu-natal","Ugu DM","Public Health","Male","8002","2732","10734"
"National","kwazulu-natal","uMgungundlovu DM","Private Health","Female","1624","846","2470"
