"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","537754"
"kwazulu-natal","Private Health","1237741"
"western cape","Private Health","1923660"
"limpopo","Private Health","610524"
"northern cape","Public Health","611719"
"gauteng","Private Health","4581328"
"kwazulu-natal","Public Health","4679277"
"mpumalanga","","17"
"free state","Public Health","1871418"
"north west","Public Health","1791767"
"gauteng","Public Health","5857817"
"mpumalanga","Private Health","406743"
"mpumalanga","Public Health","1941061"
"western cape","","1"
"northern cape","Private Health","158263"
"eastern cape","Private Health","694870"
"western cape","Public Health","3691761"
"limpopo","Public Health","3161794"
"free state","Private Health","401344"
"eastern cape","Public Health","3573482"
