"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","152"
"eastern cape","Public Health","1848"
"free state","Private Health","95"
"free state","Public Health","832"
"gauteng","Private Health","1229"
"gauteng","Public Health","2027"
"kwazulu-natal","Private Health","345"
"kwazulu-natal","Public Health","1813"
"limpopo","Private Health","196"
"limpopo","Public Health","1027"
"mpumalanga","Private Health","284"
"mpumalanga","Public Health","1685"
"northern cape","Private Health","29"
"northern cape","Public Health","807"
"north west","Private Health","98"
"north west","Public Health","501"
"western cape","Private Health","504"
"western cape","Public Health","658"
