"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","536772"
"kwazulu-natal","Private Health","1236245"
"western cape","Private Health","1921671"
"limpopo","Private Health","608172"
"northern cape","Public Health","607430"
"gauteng","Private Health","4570579"
"kwazulu-natal","Public Health","4656374"
"free state","Public Health","1861969"
"north west","Public Health","1783981"
"gauteng","Public Health","5829456"
"mpumalanga","Private Health","406191"
"mpumalanga","Public Health","1925730"
"northern cape","Private Health","157906"
"eastern cape","Private Health","693935"
"western cape","Public Health","3678447"
"limpopo","Public Health","3139970"
"free state","Private Health","400147"
"eastern cape","Public Health","3538488"
