"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","920089"
"Janssen Vaccines & Prevention B.V","free state","Adults","488247"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1554986"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1250222"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1083183"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","833247"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","216470"
"Janssen Vaccines & Prevention B.V","north west","Adults","715349"
"Janssen Vaccines & Prevention B.V","western cape","Adults","753671"
"Pfizer","eastern cape","12-17 Years","115203"
"Pfizer","eastern cape","Adults","1137289"
"Pfizer","free state","12-17 Years","80009"
"Pfizer","free state","Adults","597945"
"Pfizer","gauteng","12-17 Years","170562"
"Pfizer","gauteng","Adults","3407740"
"Pfizer","kwazulu-natal","12-17 Years","133764"
"Pfizer","kwazulu-natal","Adults","1663393"
"Pfizer","limpopo","12-17 Years","98886"
"Pfizer","limpopo","Adults","883801"
"Pfizer","mpumalanga","12-17 Years","52137"
"Pfizer","mpumalanga","Adults","477880"
"Pfizer","northern cape","12-17 Years","14641"
"Pfizer","northern cape","Adults","194959"
"Pfizer","north west","12-17 Years","52794"
"Pfizer","north west","Adults","542013"
"Pfizer","western cape","12-17 Years","54133"
"Pfizer","western cape","Adults","1870396"
