"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","7"
"Janssen Vaccines & Prevention B.V","free state","Adults","3"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","97"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","56"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","6"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","21"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","30"
"Janssen Vaccines & Prevention B.V","north west","Adults","26"
"Janssen Vaccines & Prevention B.V","western cape","Adults","14"
"Pfizer","eastern cape","12-17 Years","5"
"Pfizer","eastern cape","Adults","22"
"Pfizer","free state","12-17 Years","1"
"Pfizer","free state","Adults","5"
"Pfizer","gauteng","12-17 Years","57"
"Pfizer","gauteng","Adults","238"
"Pfizer","kwazulu-natal","12-17 Years","24"
"Pfizer","kwazulu-natal","Adults","70"
"Pfizer","limpopo","12-17 Years","9"
"Pfizer","limpopo","Adults","20"
"Pfizer","mpumalanga","12-17 Years","4"
"Pfizer","mpumalanga","Adults","25"
"Pfizer","northern cape","12-17 Years","6"
"Pfizer","northern cape","Adults","29"
"Pfizer","north west","12-17 Years","9"
"Pfizer","north west","Adults","35"
"Pfizer","western cape","12-17 Years","12"
"Pfizer","western cape","Adults","52"
