"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","57"
"eastern cape","Public Health","35"
"free state","Private Health","12"
"free state","Public Health","18"
"gauteng","Private Health","812"
"gauteng","Public Health","158"
"kwazulu-natal","Private Health","185"
"kwazulu-natal","Public Health","191"
"limpopo","Private Health","81"
"limpopo","Public Health","26"
"mpumalanga","Private Health","71"
"mpumalanga","Public Health","57"
"northern cape","Private Health","62"
"northern cape","Public Health","387"
"north west","Private Health","34"
"north west","Public Health","162"
"western cape","Private Health","214"
"western cape","Public Health","19"
