"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","533779"
"kwazulu-natal","Private Health","1228483"
"western cape","Private Health","1909116"
"limpopo","Private Health","600047"
"northern cape","Public Health","601158"
"gauteng","Private Health","4536513"
"kwazulu-natal","Public Health","4593901"
"free state","Public Health","1840601"
"north west","Public Health","1773936"
"gauteng","Public Health","5783680"
"mpumalanga","Private Health","403226"
"mpumalanga","Public Health","1891975"
"northern cape","Private Health","156598"
"eastern cape","Private Health","688121"
"western cape","Public Health","3653060"
"limpopo","Public Health","3102312"
"free state","Private Health","396731"
"eastern cape","Public Health","3469517"
