"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","916394"
"Janssen Vaccines & Prevention B.V","free state","Adults","486745"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1542462"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1241526"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1078254"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","826797"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","215676"
"Janssen Vaccines & Prevention B.V","north west","Adults","713046"
"Janssen Vaccines & Prevention B.V","western cape","Adults","749878"
"Pfizer","eastern cape","12-17 Years","98859"
"Pfizer","eastern cape","Adults","1125174"
"Pfizer","free state","12-17 Years","78683"
"Pfizer","free state","Adults","591695"
"Pfizer","gauteng","12-17 Years","170271"
"Pfizer","gauteng","Adults","3384559"
"Pfizer","kwazulu-natal","12-17 Years","124467"
"Pfizer","kwazulu-natal","Adults","1646500"
"Pfizer","limpopo","12-17 Years","93288"
"Pfizer","limpopo","Adults","876290"
"Pfizer","mpumalanga","12-17 Years","47382"
"Pfizer","mpumalanga","Adults","472488"
"Pfizer","northern cape","12-17 Years","13102"
"Pfizer","northern cape","Adults","193701"
"Pfizer","north west","12-17 Years","52807"
"Pfizer","north west","Adults","538877"
"Pfizer","western cape","12-17 Years","52740"
"Pfizer","western cape","Adults","1861406"
