"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10429","5105","15534"
"National","eastern cape","Private Health","Male","8826","3968","12794"
"National","eastern cape","Public Health","Female","144490","52642","197132"
"National","eastern cape","Public Health","Male","118563","37144","155707"
"National","free state","Private Health","Female","9135","4638","13773"
"National","free state","Private Health","Male","7507","3560","11067"
"National","free state","Public Health","Female","83719","40278","123997"
"National","free state","Public Health","Male","71561","30207","101768"
"National","gauteng","Private Health","Female","53542","30345","83887"
"National","gauteng","Private Health","Male","49170","25992","75162"
"National","gauteng","Public Health","Female","162855","65710","228565"
"National","gauteng","Public Health","Male","128703","48224","176927"
"National","kwazulu-natal","Private Health","Female","17092","9663","26755"
"National","kwazulu-natal","Private Health","Male","15476","8253","23729"
"National","kwazulu-natal","Public Health","Female","156551","66282","222833"
"National","kwazulu-natal","Public Health","Male","106617","40269","146886"
"National","limpopo","Private Health","Female","11773","5177","16950"
"National","limpopo","Private Health","Male","9178","3624","12802"
"National","limpopo","Public Health","Female","141736","48384","190120"
"National","limpopo","Public Health","Male","122834","36103","158937"
"National","mpumalanga","Private Health","Female","4002","1728","5730"
"National","mpumalanga","Private Health","Male","3485","1522","5007"
"National","mpumalanga","Public Health","Female","75910","26006","101916"
"National","mpumalanga","Public Health","Male","62927","18126","81053"
"National","northern cape","Private Health","Female","2124","1059","3183"
"National","northern cape","Private Health","Male","1948","814","2762"
"National","northern cape","Public Health","Female","17726","6458","24184"
"National","northern cape","Public Health","Male","13908","4771","18679"
"National","north west","Private Health","Female","5214","2432","7646"
"National","north west","Private Health","Male","4728","2042","6770"
"National","north west","Public Health","Female","78786","28010","106796"
"National","north west","Public Health","Male","65288","20323","85611"
"National","western cape","Private Health","Female","23531","12743","36274"
"National","western cape","Private Health","Male","21195","10998","32193"
"National","western cape","Public Health","Female","47010","15928","62938"
"National","western cape","Public Health","Male","39261","13071","52332"
