"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","151","36","187"
"National","eastern cape","Amathole DM","Private Health","Male","92","18","110"
"National","eastern cape","Amathole DM","Public Health","Female","14510","5588","20098"
"National","eastern cape","Amathole DM","Public Health","Male","12454","4574","17028"
"National","eastern cape","A Nzo DM","Public Health","Female","32766","17485","50251"
"National","eastern cape","A Nzo DM","Public Health","Male","29047","13615","42662"
"National","eastern cape","Buffalo City MM","Private Health","Female","2798","1143","3941"
"National","eastern cape","Buffalo City MM","Private Health","Male","2283","882","3165"
"National","eastern cape","Buffalo City MM","Public Health","Female","16455","9523","25978"
"National","eastern cape","Buffalo City MM","Public Health","Male","13041","6710","19751"
"National","eastern cape","C Hani DM","Private Health","Female","219","106","325"
"National","eastern cape","C Hani DM","Private Health","Male","154","74","228"
"National","eastern cape","C Hani DM","Public Health","Female","13720","3597","17317"
"National","eastern cape","C Hani DM","Public Health","Male","11056","2626","13682"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","647","360","1007"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","487","215","702"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7801","2712","10513"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","6967","2186","9153"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","4016","2021","6037"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3645","1698","5343"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15775","6487","22262"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12281","4603","16884"
"National","eastern cape","O Tambo DM","Private Health","Female","306","118","424"
"National","eastern cape","O Tambo DM","Private Health","Male","244","112","356"
"National","eastern cape","O Tambo DM","Public Health","Female","43641","17079","60720"
"National","eastern cape","O Tambo DM","Public Health","Male","36722","12810","49532"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1554","1069","2623"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1347","807","2154"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9563","5356","14919"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","8037","3994","12031"
"National","free state","Fezile Dabi DM","Private Health","Female","470","339","809"
"National","free state","Fezile Dabi DM","Private Health","Male","445","280","725"
"National","free state","Fezile Dabi DM","Public Health","Female","13090","5002","18092"
"National","free state","Fezile Dabi DM","Public Health","Male","10732","3633","14365"
"National","free state","Lejweleputswa DM","Private Health","Female","3718","1432","5150"
"National","free state","Lejweleputswa DM","Private Health","Male","2974","1080","4054"
"National","free state","Lejweleputswa DM","Public Health","Female","13967","5260","19227"
"National","free state","Lejweleputswa DM","Public Health","Male","11983","3720","15703"
"National","free state","Mangaung MM","Private Health","Female","2950","1915","4865"
"National","free state","Mangaung MM","Private Health","Male","2431","1463","3894"
"National","free state","Mangaung MM","Public Health","Female","23280","13806","37086"
"National","free state","Mangaung MM","Public Health","Male","20807","11166","31973"
"National","free state","T Mofutsanyana DM","Private Health","Female","1827","1112","2939"
"National","free state","T Mofutsanyana DM","Private Health","Male","1570","906","2476"
