"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538604"
"kwazulu-natal","Private Health","1238629"
"western cape","Private Health","1924754"
"limpopo","Private Health","612311"
"northern cape","Public Health","618116"
"gauteng","Private Health","4590109"
"kwazulu-natal","Public Health","4702638"
"mpumalanga","","23"
"free state","Public Health","1879764"
"north west","Public Health","1805619"
"gauteng","Public Health","5896394"
"mpumalanga","Private Health","406992"
"mpumalanga","Public Health","1960200"
"western cape","","3"
"northern cape","Private Health","158524"
"eastern cape","Private Health","695603"
"western cape","Public Health","3708172"
"limpopo","Public Health","3191954"
"limpopo","","2"
"free state","Private Health","402421"
"eastern cape","Public Health","3621228"
