"vaccine_manufacturer","province","district","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Amathole DM","Adults","103230"
"Janssen Vaccines & Prevention B.V","eastern cape","A Nzo DM","Adults","120145"
"Janssen Vaccines & Prevention B.V","eastern cape","Buffalo City MM","Adults","72275"
"Janssen Vaccines & Prevention B.V","eastern cape","C Hani DM","Adults","107848"
"Janssen Vaccines & Prevention B.V","eastern cape","Joe Gqabi DM","Adults","51510"
"Janssen Vaccines & Prevention B.V","eastern cape","N Mandela Bay MM","Adults","166295"
"Janssen Vaccines & Prevention B.V","eastern cape","O Tambo DM","Adults","212662"
"Janssen Vaccines & Prevention B.V","eastern cape","Sarah Baartman DM","Adults","91026"
"Janssen Vaccines & Prevention B.V","free state","Fezile Dabi DM","Adults","81388"
"Janssen Vaccines & Prevention B.V","free state","Lejweleputswa DM","Adults","76132"
"Janssen Vaccines & Prevention B.V","free state","Mangaung MM","Adults","153715"
"Janssen Vaccines & Prevention B.V","free state","T Mofutsanyana DM","Adults","144867"
"Janssen Vaccines & Prevention B.V","free state","Xhariep DM","Adults","33448"
"Janssen Vaccines & Prevention B.V","gauteng","Ekurhuleni MM","Adults","329784"
"Janssen Vaccines & Prevention B.V","gauteng","Johannesburg MM","Adults","563431"
"Janssen Vaccines & Prevention B.V","gauteng","Sedibeng DM","Adults","102956"
"Janssen Vaccines & Prevention B.V","gauteng","Tshwane MM","Adults","470075"
"Janssen Vaccines & Prevention B.V","gauteng","West Rand DM","Adults","108226"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Amajuba DM","Adults","80243"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","eThekwini MM","Adults","346966"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Harry Gwala DM","Adults","58842"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","iLembe DM","Adults","64149"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","King Cetshwayo DM","Adults","102932"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Ugu DM","Adults","67843"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","uMgungundlovu DM","Adults","142309"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Umkhanyakude DM","Adults","102927"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Umzinyathi DM","Adults","97676"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Uthukela DM","Adults","97151"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Zululand DM","Adults","98959"
"Janssen Vaccines & Prevention B.V","limpopo","Capricorn DM","Adults","275724"
"Janssen Vaccines & Prevention B.V","limpopo","Mopani DM","Adults","245921"
"Janssen Vaccines & Prevention B.V","limpopo","Sekhukhune DM","Adults","187422"
"Janssen Vaccines & Prevention B.V","limpopo","Vhembe DM","Adults","245507"
"Janssen Vaccines & Prevention B.V","limpopo","Waterberg DM","Adults","137123"
"Janssen Vaccines & Prevention B.V","mpumalanga","Ehlanzeni DM","Adults","417621"
"Janssen Vaccines & Prevention B.V","mpumalanga","G Sibande DM","Adults","189786"
"Janssen Vaccines & Prevention B.V","mpumalanga","Nkangala DM","Adults","232938"
"Janssen Vaccines & Prevention B.V","northern cape","Frances Baard DM","Adults","72023"
"Janssen Vaccines & Prevention B.V","northern cape","J T Gaetsewe DM","Adults","41960"
"Janssen Vaccines & Prevention B.V","northern cape","Namakwa DM","Adults","16385"
"Janssen Vaccines & Prevention B.V","northern cape","Pixley ka Seme DM","Adults","28296"
"Janssen Vaccines & Prevention B.V","northern cape","ZF Mgcawu DM","Adults","59645"
"Janssen Vaccines & Prevention B.V","north west","Bojanala Platinum DM","Adults","298240"
"Janssen Vaccines & Prevention B.V","north west","Dr K Kaunda DM","Adults","109504"
"Janssen Vaccines & Prevention B.V","north west","Ngaka Modiri Molema DM","Adults","201346"
"Janssen Vaccines & Prevention B.V","north west","Ruth Segomotsi Mompati DM","Adults","110633"
"Janssen Vaccines & Prevention B.V","western cape","Cape Town MM","Adults","435901"
"Janssen Vaccines & Prevention B.V","western cape","Cape Winelands DM","Adults","121760"
"Janssen Vaccines & Prevention B.V","western cape","Central Karoo DM","Adults","6841"
"Janssen Vaccines & Prevention B.V","western cape","Garden Route DM","Adults","78268"
"Janssen Vaccines & Prevention B.V","western cape","Overberg DM","Adults","47555"
"Janssen Vaccines & Prevention B.V","western cape","West Coast DM","Adults","68756"
"Pfizer","eastern cape","Amathole DM","12-17 Years","10216"
"Pfizer","eastern cape","Amathole DM","Adults","149154"
"Pfizer","eastern cape","A Nzo DM","12-17 Years","31100"
"Pfizer","eastern cape","A Nzo DM","Adults","105007"
"Pfizer","eastern cape","Buffalo City MM","12-17 Years","18258"
"Pfizer","eastern cape","Buffalo City MM","Adults","214950"
"Pfizer","eastern cape","C Hani DM","12-17 Years","6403"
"Pfizer","eastern cape","C Hani DM","Adults","119163"
"Pfizer","eastern cape","Joe Gqabi DM","12-17 Years","5473"
"Pfizer","eastern cape","Joe Gqabi DM","Adults","56080"
"Pfizer","eastern cape","N Mandela Bay MM","12-17 Years","14809"
"Pfizer","eastern cape","N Mandela Bay MM","Adults","276873"
"Pfizer","eastern cape","O Tambo DM","12-17 Years","30119"
"Pfizer","eastern cape","O Tambo DM","Adults","137867"
"Pfizer","eastern cape","Sarah Baartman DM","12-17 Years","11226"
"Pfizer","eastern cape","Sarah Baartman DM","Adults","94080"
"Pfizer","free state","Fezile Dabi DM","12-17 Years","9254"
"Pfizer","free state","Fezile Dabi DM","Adults","94090"
"Pfizer","free state","Lejweleputswa DM","12-17 Years","11492"
"Pfizer","free state","Lejweleputswa DM","Adults","154514"
"Pfizer","free state","Mangaung MM","12-17 Years","28350"
"Pfizer","free state","Mangaung MM","Adults","202304"
"Pfizer","free state","T Mofutsanyana DM","12-17 Years","28997"
"Pfizer","free state","T Mofutsanyana DM","Adults","138427"
"Pfizer","free state","Xhariep DM","12-17 Years","2004"
"Pfizer","free state","Xhariep DM","Adults","14335"
"Pfizer","gauteng","Ekurhuleni MM","12-17 Years","38425"
"Pfizer","gauteng","Ekurhuleni MM","Adults","810088"
"Pfizer","gauteng","Johannesburg MM","12-17 Years","55203"
"Pfizer","gauteng","Johannesburg MM","Adults","1496372"
"Pfizer","gauteng","Sedibeng DM","12-17 Years","12022"
"Pfizer","gauteng","Sedibeng DM","Adults","155513"
"Pfizer","gauteng","Tshwane MM","12-17 Years","44145"
"Pfizer","gauteng","Tshwane MM","Adults","733108"
"Pfizer","gauteng","West Rand DM","12-17 Years","18039"
"Pfizer","gauteng","West Rand DM","Adults","235550"
"Pfizer","kwazulu-natal","Amajuba DM","12-17 Years","4678"
"Pfizer","kwazulu-natal","Amajuba DM","Adults","50175"
"Pfizer","kwazulu-natal","eThekwini MM","12-17 Years","22890"
"Pfizer","kwazulu-natal","eThekwini MM","Adults","772198"
"Pfizer","kwazulu-natal","Harry Gwala DM","12-17 Years","13610"
"Pfizer","kwazulu-natal","Harry Gwala DM","Adults","68501"
"Pfizer","kwazulu-natal","iLembe DM","12-17 Years","6901"
"Pfizer","kwazulu-natal","iLembe DM","Adults","99122"
"Pfizer","kwazulu-natal","King Cetshwayo DM","12-17 Years","8285"
"Pfizer","kwazulu-natal","King Cetshwayo DM","Adults","92944"
"Pfizer","kwazulu-natal","Ugu DM","12-17 Years","8824"
"Pfizer","kwazulu-natal","Ugu DM","Adults","135051"
"Pfizer","kwazulu-natal","uMgungundlovu DM","12-17 Years","9645"
"Pfizer","kwazulu-natal","uMgungundlovu DM","Adults","214269"
"Pfizer","kwazulu-natal","Umkhanyakude DM","12-17 Years","15670"
"Pfizer","kwazulu-natal","Umkhanyakude DM","Adults","59450"
"Pfizer","kwazulu-natal","Umzinyathi DM","12-17 Years","9777"
"Pfizer","kwazulu-natal","Umzinyathi DM","Adults","42980"
"Pfizer","kwazulu-natal","Uthukela DM","12-17 Years","11010"
"Pfizer","kwazulu-natal","Uthukela DM","Adults","57940"
"Pfizer","kwazulu-natal","Zululand DM","12-17 Years","20806"
"Pfizer","kwazulu-natal","Zululand DM","Adults","84797"
"Pfizer","limpopo","Capricorn DM","12-17 Years","27566"
"Pfizer","limpopo","Capricorn DM","Adults","194828"
"Pfizer","limpopo","Mopani DM","12-17 Years","22541"
"Pfizer","limpopo","Mopani DM","Adults","177356"
"Pfizer","limpopo","Sekhukhune DM","12-17 Years","18466"
"Pfizer","limpopo","Sekhukhune DM","Adults","144422"
"Pfizer","limpopo","Vhembe DM","12-17 Years","21448"
"Pfizer","limpopo","Vhembe DM","Adults","205085"
"Pfizer","limpopo","Waterberg DM","12-17 Years","12211"
"Pfizer","limpopo","Waterberg DM","Adults","171564"
"Pfizer","mpumalanga","Ehlanzeni DM","12-17 Years","33375"
"Pfizer","mpumalanga","Ehlanzeni DM","Adults","203231"
"Pfizer","mpumalanga","G Sibande DM","12-17 Years","10602"
"Pfizer","mpumalanga","G Sibande DM","Adults","138494"
"Pfizer","mpumalanga","Nkangala DM","12-17 Years","12082"
"Pfizer","mpumalanga","Nkangala DM","Adults","142468"
"Pfizer","northern cape","Frances Baard DM","12-17 Years","6514"
"Pfizer","northern cape","Frances Baard DM","Adults","70027"
"Pfizer","northern cape","J T Gaetsewe DM","12-17 Years","2574"
"Pfizer","northern cape","J T Gaetsewe DM","Adults","35817"
"Pfizer","northern cape","Namakwa DM","12-17 Years","1167"
"Pfizer","northern cape","Namakwa DM","Adults","26259"
"Pfizer","northern cape","Pixley ka Seme DM","12-17 Years","2730"
"Pfizer","northern cape","Pixley ka Seme DM","Adults","26128"
"Pfizer","northern cape","ZF Mgcawu DM","12-17 Years","2894"
"Pfizer","northern cape","ZF Mgcawu DM","Adults","38570"
"Pfizer","north west","Bojanala Platinum DM","12-17 Years","23545"
"Pfizer","north west","Bojanala Platinum DM","Adults","276973"
"Pfizer","north west","Dr K Kaunda DM","12-17 Years","8882"
"Pfizer","north west","Dr K Kaunda DM","Adults","138480"
"Pfizer","north west","Ngaka Modiri Molema DM","12-17 Years","12949"
"Pfizer","north west","Ngaka Modiri Molema DM","Adults","96252"
"Pfizer","north west","Ruth Segomotsi Mompati DM","12-17 Years","6996"
"Pfizer","north west","Ruth Segomotsi Mompati DM","Adults","35300"
"Pfizer","western cape","Cape Town MM","12-17 Years","36805"
"Pfizer","western cape","Cape Town MM","Adults","1309160"
"Pfizer","western cape","Cape Winelands DM","12-17 Years","7505"
"Pfizer","western cape","Cape Winelands DM","Adults","235738"
"Pfizer","western cape","Central Karoo DM","12-17 Years","660"
"Pfizer","western cape","Central Karoo DM","Adults","14524"
"Pfizer","western cape","Garden Route DM","12-17 Years","4522"
"Pfizer","western cape","Garden Route DM","Adults","148889"
"Pfizer","western cape","Overberg DM","12-17 Years","1776"
"Pfizer","western cape","Overberg DM","Adults","79861"
"Pfizer","western cape","West Coast DM","12-17 Years","3308"
"Pfizer","western cape","West Coast DM","Adults","90323"
