"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","451","0","878","1329"
"Janssen Vaccines & Prevention B.V","free state","Adults","251","0","577","828"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","855","0","644","1499"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","658","0","614","1272"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","392","0","743","1135"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","689","0","714","1403"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","109","0","188","297"
"Janssen Vaccines & Prevention B.V","north west","Adults","173","0","317","490"
"Janssen Vaccines & Prevention B.V","western cape","Adults","253","0","282","535"
"Pfizer","eastern cape","12-17 Years","346","410","0","756"
"Pfizer","eastern cape","Adults","513","685","1442","2640"
"Pfizer","free state","12-17 Years","131","269","0","400"
"Pfizer","free state","Adults","222","393","560","1175"
"Pfizer","gauteng","12-17 Years","483","474","0","957"
"Pfizer","gauteng","Adults","1062","1377","1417","3856"
"Pfizer","kwazulu-natal","12-17 Years","554","671","0","1225"
"Pfizer","kwazulu-natal","Adults","891","1011","907","2809"
"Pfizer","limpopo","12-17 Years","872","423","0","1295"
"Pfizer","limpopo","Adults","340","437","729","1506"
"Pfizer","mpumalanga","12-17 Years","320","366","0","686"
"Pfizer","mpumalanga","Adults","314","430","721","1465"
"Pfizer","northern cape","12-17 Years","78","36","0","114"
"Pfizer","northern cape","Adults","118","101","176","395"
"Pfizer","north west","12-17 Years","189","200","0","389"
"Pfizer","north west","Adults","177","253","294","724"
"Pfizer","western cape","12-17 Years","167","119","0","286"
"Pfizer","western cape","Adults","359","503","879","1741"
