"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","319"
"eastern cape","Public Health","4406"
"free state","Private Health","207"
"free state","Public Health","2196"
"gauteng","Private Health","2137"
"gauteng","Public Health","4175"
"kwazulu-natal","Private Health","493"
"kwazulu-natal","Public Health","4813"
"limpopo","Private Health","371"
"limpopo","Public Health","3565"
"mpumalanga","Private Health","365"
"mpumalanga","Public Health","3189"
"northern cape","Private Health","53"
"northern cape","Public Health","753"
"north west","Private Health","301"
"north west","Public Health","1302"
"western cape","Private Health","861"
"western cape","Public Health","1701"
