"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","22"
"eastern cape","Public Health","2356"
"free state","Private Health","26"
"free state","Public Health","487"
"gauteng","Private Health","232"
"gauteng","Public Health","1055"
"kwazulu-natal","Private Health","48"
"kwazulu-natal","Public Health","1004"
"limpopo","Private Health","70"
"limpopo","Public Health","836"
"mpumalanga","Private Health","8"
"mpumalanga","Public Health","760"
"northern cape","Private Health","8"
"northern cape","Public Health","178"
"north west","Private Health","35"
"north west","Public Health","209"
"western cape","Private Health","46"
"western cape","Public Health","638"
