"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","81"
"eastern cape","Public Health","1702"
"free state","Private Health","11"
"free state","Public Health","476"
"gauteng","Private Health","636"
"gauteng","Public Health","1196"
"kwazulu-natal","Private Health","142"
"kwazulu-natal","Public Health","1035"
"limpopo","Private Health","135"
"limpopo","Public Health","1252"
"mpumalanga","Private Health","37"
"mpumalanga","Public Health","626"
"northern cape","Private Health","10"
"northern cape","Public Health","82"
"north west","Private Health","51"
"north west","Public Health","223"
"western cape","Private Health","202"
"western cape","Public Health","400"
