"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10584","5111","15695"
"National","eastern cape","Private Health","Male","8913","3947","12860"
"National","eastern cape","Public Health","Female","144387","50609","194996"
"National","eastern cape","Public Health","Male","118347","35359","153706"
"National","free state","Private Health","Female","9210","4555","13765"
"National","free state","Private Health","Male","7539","3462","11001"
"National","free state","Public Health","Female","84072","39661","123733"
"National","free state","Public Health","Male","71846","29645","101491"
"National","gauteng","Private Health","Female","53900","29999","83899"
"National","gauteng","Private Health","Male","49485","25670","75155"
"National","gauteng","Public Health","Female","163939","65348","229287"
"National","gauteng","Public Health","Male","129420","47807","177227"
"National","kwazulu-natal","Private Health","Female","17327","9686","27013"
"National","kwazulu-natal","Private Health","Male","15659","8238","23897"
"National","kwazulu-natal","Public Health","Female","156065","63267","219332"
"National","kwazulu-natal","Public Health","Male","106276","38594","144870"
"National","limpopo","Private Health","Female","11863","5129","16992"
"National","limpopo","Private Health","Male","9230","3577","12807"
"National","limpopo","Public Health","Female","141291","47150","188441"
"National","limpopo","Public Health","Male","122725","35310","158035"
"National","mpumalanga","Private Health","Female","4043","1713","5756"
"National","mpumalanga","Private Health","Male","3529","1495","5024"
"National","mpumalanga","Public Health","Female","75502","25261","100763"
"National","mpumalanga","Public Health","Male","62732","17618","80350"
"National","northern cape","Private Health","Female","2149","1063","3212"
"National","northern cape","Private Health","Male","1975","797","2772"
"National","northern cape","Public Health","Female","16985","5469","22454"
"National","northern cape","Public Health","Male","13298","4045","17343"
"National","north west","Private Health","Female","5278","2443","7721"
"National","north west","Private Health","Male","4764","2036","6800"
"National","north west","Public Health","Female","79242","27809","107051"
"National","north west","Public Health","Male","65574","20036","85610"
"National","western cape","Private Health","Female","23707","12584","36291"
"National","western cape","Private Health","Male","21341","10892","32233"
"National","western cape","Public Health","Female","47353","15791","63144"
"National","western cape","Public Health","Male","39404","12903","52307"
