"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","531138"
"kwazulu-natal","Private Health","1220940"
"western cape","Private Health","1896980"
"limpopo","Private Health","594651"
"northern cape","Public Health","583843"
"gauteng","Private Health","4503528"
"kwazulu-natal","Public Health","4531557"
"free state","Public Health","1818620"
"north west","Public Health","1759340"
"gauteng","Public Health","5742467"
"mpumalanga","Private Health","397597"
"mpumalanga","Public Health","1854211"
"northern cape","Private Health","155657"
"eastern cape","Private Health","683116"
"western cape","Public Health","3632230"
"limpopo","Public Health","3077295"
"free state","Private Health","394271"
"eastern cape","Public Health","3424914"
