"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10210","5090","15300"
"National","eastern cape","Private Health","Male","8627","3943","12570"
"National","eastern cape","Public Health","Female","149603","60950","210553"
"National","eastern cape","Public Health","Male","123617","44421","168038"
"National","free state","Private Health","Female","9110","4631","13741"
"National","free state","Private Health","Male","7505","3585","11090"
"National","free state","Public Health","Female","83218","40926","124144"
"National","free state","Public Health","Male","71303","30813","102116"
"National","gauteng","Private Health","Female","52763","30153","82916"
"National","gauteng","Private Health","Male","48463","25914","74377"
"National","gauteng","Public Health","Female","160870","65950","226820"
"National","gauteng","Public Health","Male","127344","48605","175949"
"National","kwazulu-natal","Private Health","Female","16656","9509","26165"
"National","kwazulu-natal","Private Health","Male","15165","8183","23348"
"National","kwazulu-natal","Public Health","Female","157171","72133","229304"
"National","kwazulu-natal","Public Health","Male","107241","43857","151098"
"National","limpopo","Private Health","Female","11794","5349","17143"
"National","limpopo","Private Health","Male","9174","3708","12882"
"National","limpopo","Public Health","Female","144651","51279","195930"
"National","limpopo","Public Health","Male","124955","38350","163305"
"National","mpumalanga","Private Health","Female","3897","1701","5598"
"National","mpumalanga","Private Health","Male","3410","1516","4926"
"National","mpumalanga","Public Health","Female","77311","28797","106108"
"National","mpumalanga","Public Health","Male","63619","19821","83440"
"National","northern cape","Private Health","Female","2098","1046","3144"
"National","northern cape","Private Health","Male","1924","819","2743"
"National","northern cape","Public Health","Female","18155","7351","25506"
"National","northern cape","Public Health","Male","14264","5400","19664"
"National","north west","Private Health","Female","5109","2410","7519"
"National","north west","Private Health","Male","4640","2029","6669"
"National","north west","Public Health","Female","77645","27923","105568"
"National","north west","Public Health","Male","64439","20437","84876"
"National","western cape","Private Health","Female","23023","12629","35652"
"National","western cape","Private Health","Male","20855","10939","31794"
"National","western cape","Public Health","Female","48438","16780","65218"
"National","western cape","Public Health","Male","40553","13774","54327"
