"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","536643"
"kwazulu-natal","Private Health","1235991"
"western cape","Private Health","1921281"
"limpopo","Private Health","607933"
"northern cape","Public Health","607122"
"gauteng","Private Health","4569582"
"kwazulu-natal","Public Health","4653973"
"free state","Public Health","1860988"
"north west","Public Health","1783421"
"gauteng","Public Health","5826916"
"mpumalanga","Private Health","406076"
"mpumalanga","Public Health","1924183"
"northern cape","Private Health","157893"
"eastern cape","Private Health","693883"
"western cape","Public Health","3677210"
"limpopo","Public Health","3138137"
"free state","Private Health","400002"
"eastern cape","Public Health","3534084"
