"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","901057"
"eastern cape","Pfizer","1313171"
"free state","Johnson & Johnson","479373"
"free state","Pfizer","660570"
"gauteng","Johnson & Johnson","1503670"
"gauteng","Pfizer","3849267"
"kwazulu-natal","Johnson & Johnson","1209908"
"kwazulu-natal","Pfizer","1931120"
"limpopo","Johnson & Johnson","1062045"
"limpopo","Pfizer","1022074"
"mpumalanga","Johnson & Johnson","798402"
"mpumalanga","Pfizer","556785"
"northern cape","Johnson & Johnson","211027"
"northern cape","Pfizer","220174"
"north west","Johnson & Johnson","703424"
"north west","Pfizer","610740"
"western cape","Johnson & Johnson","738257"
"western cape","Pfizer","2098535"
