"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","901057"
"Janssen Vaccines & Prevention B.V","free state","Adults","479373"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1503670"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1209909"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1062045"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","798402"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","211027"
"Janssen Vaccines & Prevention B.V","north west","Adults","703424"
"Janssen Vaccines & Prevention B.V","western cape","Adults","738257"
"Pfizer","eastern cape","12-17 Years","77963"
"Pfizer","eastern cape","Adults","1097610"
"Pfizer","free state","12-17 Years","70082"
"Pfizer","free state","Adults","576693"
"Pfizer","gauteng","12-17 Years","156240"
"Pfizer","gauteng","Adults","3321490"
"Pfizer","kwazulu-natal","12-17 Years","98021"
"Pfizer","kwazulu-natal","Adults","1596777"
"Pfizer","limpopo","12-17 Years","76101"
"Pfizer","limpopo","Adults","857512"
"Pfizer","mpumalanga","12-17 Years","37934"
"Pfizer","mpumalanga","Adults","456285"
"Pfizer","northern cape","12-17 Years","9011"
"Pfizer","northern cape","Adults","187843"
"Pfizer","north west","12-17 Years","46836"
"Pfizer","north west","Adults","527433"
"Pfizer","western cape","12-17 Years","49900"
"Pfizer","western cape","Adults","1838192"
