"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","522891"
"kwazulu-natal","Private Health","1203360"
"western cape","Private Health","1867743"
"limpopo","Private Health","582369"
"northern cape","Public Health","560827"
"gauteng","Private Health","4430697"
"kwazulu-natal","Public Health","4360081"
"free state","Public Health","1765616"
"north west","Public Health","1713174"
"gauteng","Public Health","5612684"
"mpumalanga","Private Health","389933"
"mpumalanga","Public Health","1776390"
"northern cape","Private Health","152942"
"eastern cape","Private Health","672631"
"western cape","Public Health","3580376"
"limpopo","Public Health","2964611"
"free state","Private Health","385532"
"eastern cape","Public Health","3307496"
