"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","46","0","101","147"
"Janssen Vaccines & Prevention B.V","free state","Adults","30","0","57","87"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","350","0","174","524"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","150","0","117","267"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","217","0","267","484"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","158","0","137","295"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","33","0","19","52"
"Janssen Vaccines & Prevention B.V","north west","Adults","90","0","88","178"
"Janssen Vaccines & Prevention B.V","western cape","Adults","83","0","35","118"
"Pfizer","eastern cape","12-17 Years","578","511","0","1089"
"Pfizer","eastern cape","Adults","169","206","251","626"
"Pfizer","free state","12-17 Years","29","50","0","79"
"Pfizer","free state","Adults","25","35","66","126"
"Pfizer","gauteng","12-17 Years","71","16","0","87"
"Pfizer","gauteng","Adults","215","230","243","688"
"Pfizer","kwazulu-natal","12-17 Years","62","39","0","101"
"Pfizer","kwazulu-natal","Adults","127","105","106","338"
"Pfizer","limpopo","12-17 Years","102","115","0","217"
"Pfizer","limpopo","Adults","171","142","181","494"
"Pfizer","mpumalanga","12-17 Years","122","104","0","226"
"Pfizer","mpumalanga","Adults","159","98","89","346"
"Pfizer","northern cape","12-17 Years","41","12","0","53"
"Pfizer","northern cape","Adults","24","19","24","67"
"Pfizer","north west","12-17 Years","11","3","0","14"
"Pfizer","north west","Adults","49","31","72","152"
"Pfizer","western cape","12-17 Years","51","18","0","69"
"Pfizer","western cape","Adults","102","89","78","269"
