"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","46"
"Janssen Vaccines & Prevention B.V","free state","Adults","30"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","350"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","150"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","217"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","158"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","33"
"Janssen Vaccines & Prevention B.V","north west","Adults","90"
"Janssen Vaccines & Prevention B.V","western cape","Adults","83"
"Pfizer","eastern cape","12-17 Years","511"
"Pfizer","eastern cape","Adults","206"
"Pfizer","free state","12-17 Years","50"
"Pfizer","free state","Adults","35"
"Pfizer","gauteng","12-17 Years","16"
"Pfizer","gauteng","Adults","230"
"Pfizer","kwazulu-natal","12-17 Years","39"
"Pfizer","kwazulu-natal","Adults","105"
"Pfizer","limpopo","12-17 Years","115"
"Pfizer","limpopo","Adults","142"
"Pfizer","mpumalanga","12-17 Years","104"
"Pfizer","mpumalanga","Adults","98"
"Pfizer","northern cape","12-17 Years","12"
"Pfizer","northern cape","Adults","19"
"Pfizer","north west","12-17 Years","3"
"Pfizer","north west","Adults","31"
"Pfizer","western cape","12-17 Years","18"
"Pfizer","western cape","Adults","89"
