"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","5"
"eastern cape","Public Health","1857"
"free state","Private Health","70"
"free state","Public Health","222"
"gauteng","Private Health","189"
"gauteng","Public Health","1110"
"kwazulu-natal","Private Health","13"
"kwazulu-natal","Public Health","693"
"limpopo","Private Health","129"
"limpopo","Public Health","1066"
"mpumalanga","Private Health","40"
"mpumalanga","Public Health","827"
"northern cape","Private Health","8"
"northern cape","Public Health","164"
"north west","Private Health","21"
"north west","Public Health","323"
"western cape","Private Health","13"
"western cape","Public Health","443"
