"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","532438"
"kwazulu-natal","Private Health","1224870"
"western cape","Private Health","1902808"
"limpopo","Private Health","597324"
"northern cape","Public Health","591058"
"gauteng","Private Health","4520995"
"kwazulu-natal","Public Health","4557854"
"free state","Public Health","1828299"
"north west","Public Health","1766098"
"gauteng","Public Health","5762684"
"mpumalanga","Private Health","399825"
"mpumalanga","Public Health","1869648"
"northern cape","Private Health","156172"
"eastern cape","Private Health","685612"
"western cape","Public Health","3641763"
"limpopo","Public Health","3087635"
"free state","Private Health","395464"
"eastern cape","Public Health","3441999"
