"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","853483","0","137682","991165"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","461374","0","85608","546982"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1399407","0","193316","1592723"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1140485","0","166904","1307389"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1042067","0","137568","1179635"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","799046","0","112841","911887"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","205063","0","30759","235822"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","688314","0","106101","794415"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","653538","0","105502","759040"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60864","0","24220","85084"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24394","0","12199","36593"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137404","0","65383","202787"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94490","0","40022","134512"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34183","0","17016","51199"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21911","0","7150","29061"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9464","0","4455","13919"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23470","0","8964","32434"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94611","0","61527","156138"
"Pfizer","National","eastern cape","Adults","1331941","1119302","223261","2674504"
"Pfizer","National","eastern cape","12-17 Years","281475","95383","0","376858"
"Pfizer","National","free state","12-17 Years","172235","77667","0","249902"
"Pfizer","National","free state","Adults","670598","588677","131011","1390286"
"Pfizer","National","gauteng","12-17 Years","395858","169831","11","565700"
"Pfizer","National","gauteng","Adults","3896497","3374689","651283","7922469"
"Pfizer","National","kwazulu-natal","Adults","1970446","1637587","316664","3924697"
"Pfizer","National","kwazulu-natal","12-17 Years","295214","120904","8","416126"
"Pfizer","National","limpopo","Adults","1037779","873349","166602","2077730"
"Pfizer","National","limpopo","12-17 Years","284650","91745","0","376395"
"Pfizer","National","mpumalanga","12-17 Years","145677","46343","0","192020"
"Pfizer","National","mpumalanga","Adults","568629","468768","99108","1136505"
"Pfizer","National","northern cape","12-17 Years","34574","11701","0","46275"
"Pfizer","National","northern cape","Adults","224855","192356","34003","451214"
"Pfizer","National","north west","12-17 Years","154487","52512","4","207003"
"Pfizer","National","north west","Adults","620014","537174","107496","1264684"
"Pfizer","National","western cape","12-17 Years","131325","52459","2","183786"
"Pfizer","National","western cape","Adults","2115061","1857369","473177","4445607"
