"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","914347"
"eastern cape","Pfizer","1331941"
"free state","Johnson & Johnson","485768"
"free state","Pfizer","670598"
"gauteng","Johnson & Johnson","1536811"
"gauteng","Pfizer","3896497"
"kwazulu-natal","Johnson & Johnson","1234975"
"kwazulu-natal","Pfizer","1970446"
"limpopo","Johnson & Johnson","1076250"
"limpopo","Pfizer","1037779"
"mpumalanga","Johnson & Johnson","820957"
"mpumalanga","Pfizer","568629"
"northern cape","Johnson & Johnson","214527"
"northern cape","Pfizer","224855"
"north west","Johnson & Johnson","711784"
"north west","Pfizer","620014"
"western cape","Johnson & Johnson","748149"
"western cape","Pfizer","2115061"
