"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","914347"
"Janssen Vaccines & Prevention B.V","free state","Adults","485768"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1536811"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1234976"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1076250"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","820957"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","214527"
"Janssen Vaccines & Prevention B.V","north west","Adults","711784"
"Janssen Vaccines & Prevention B.V","western cape","Adults","748149"
"Pfizer","eastern cape","12-17 Years","95383"
"Pfizer","eastern cape","Adults","1119304"
"Pfizer","free state","12-17 Years","77667"
"Pfizer","free state","Adults","588677"
"Pfizer","gauteng","12-17 Years","169831"
"Pfizer","gauteng","Adults","3374703"
"Pfizer","kwazulu-natal","12-17 Years","120904"
"Pfizer","kwazulu-natal","Adults","1637592"
"Pfizer","limpopo","12-17 Years","91745"
"Pfizer","limpopo","Adults","873349"
"Pfizer","mpumalanga","12-17 Years","46343"
"Pfizer","mpumalanga","Adults","468769"
"Pfizer","northern cape","12-17 Years","11701"
"Pfizer","northern cape","Adults","192356"
"Pfizer","north west","12-17 Years","52512"
"Pfizer","north west","Adults","537176"
"Pfizer","western cape","12-17 Years","52459"
"Pfizer","western cape","Adults","1857374"
