"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","8"
"eastern cape","Public Health","227"
"free state","Public Health","83"
"gauteng","Private Health","100"
"gauteng","Public Health","539"
"kwazulu-natal","Private Health","17"
"kwazulu-natal","Public Health","268"
"limpopo","Private Health","4"
"limpopo","Public Health","188"
"mpumalanga","Public Health","163"
"northern cape","Private Health","1"
"northern cape","Public Health","27"
"north west","Private Health","53"
"north west","Public Health","37"
"western cape","Private Health","19"
"western cape","Public Health","374"
