"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","151","36","187"
"National","eastern cape","Amathole DM","Private Health","Male","93","18","111"
"National","eastern cape","Amathole DM","Public Health","Female","14412","5510","19922"
"National","eastern cape","Amathole DM","Public Health","Male","12349","4533","16882"
"National","eastern cape","A Nzo DM","Public Health","Female","32542","17189","49731"
"National","eastern cape","A Nzo DM","Public Health","Male","28687","13294","41981"
"National","eastern cape","Buffalo City MM","Private Health","Female","2818","1154","3972"
"National","eastern cape","Buffalo City MM","Private Health","Male","2295","890","3185"
"National","eastern cape","Buffalo City MM","Public Health","Female","16462","9525","25987"
"National","eastern cape","Buffalo City MM","Public Health","Male","13000","6681","19681"
"National","eastern cape","C Hani DM","Private Health","Female","219","106","325"
"National","eastern cape","C Hani DM","Private Health","Male","155","76","231"
"National","eastern cape","C Hani DM","Public Health","Female","13780","3607","17387"
"National","eastern cape","C Hani DM","Public Health","Male","11097","2630","13727"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","652","362","1014"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","493","216","709"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7830","2714","10544"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","6997","2193","9190"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","4044","2035","6079"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3666","1705","5371"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15800","6492","22292"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12281","4605","16886"
"National","eastern cape","O Tambo DM","Private Health","Female","308","119","427"
"National","eastern cape","O Tambo DM","Private Health","Male","244","112","356"
"National","eastern cape","O Tambo DM","Public Health","Female","43727","17007","60734"
"National","eastern cape","O Tambo DM","Public Health","Male","36695","12701","49396"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1566","1075","2641"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1357","814","2171"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9595","5377","14972"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","8056","4001","12057"
"National","free state","Fezile Dabi DM","Private Health","Female","471","340","811"
"National","free state","Fezile Dabi DM","Private Health","Male","447","282","729"
"National","free state","Fezile Dabi DM","Public Health","Female","13150","5016","18166"
"National","free state","Fezile Dabi DM","Public Health","Male","10747","3634","14381"
"National","free state","Lejweleputswa DM","Private Health","Female","3740","1443","5183"
"National","free state","Lejweleputswa DM","Private Health","Male","2994","1084","4078"
"National","free state","Lejweleputswa DM","Public Health","Female","14013","5276","19289"
"National","free state","Lejweleputswa DM","Public Health","Male","12022","3729","15751"
"National","free state","Mangaung MM","Private Health","Female","2948","1921","4869"
"National","free state","Mangaung MM","Private Health","Male","2422","1453","3875"
"National","free state","Mangaung MM","Public Health","Female","23391","13841","37232"
"National","free state","Mangaung MM","Public Health","Male","20879","11184","32063"
"National","free state","T Mofutsanyana DM","Private Health","Female","1834","1117","2951"
"National","free state","T Mofutsanyana DM","Private Health","Male","1573","908","2481"
"National","free state","T Mofutsanyana DM","Public Health","Female","26701","15414","42115"
"National","free state","T Mofutsanyana DM","Public Health","Male","22949","11628","34577"
"National","free state","Xhariep DM","Public Health","Female","4245","1194","5439"
"National","free state","Xhariep DM","Public Health","Male","3472","814","4286"
"National","gauteng","Ekurhuleni MM","Private Health","Female","10723","6530","17253"
"National","gauteng","Ekurhuleni MM","Private Health","Male","9882","5583","15465"
"National","gauteng","Ekurhuleni MM","Public Health","Female","40614","15237","55851"
"National","gauteng","Ekurhuleni MM","Public Health","Male","32165","11158","43323"
"National","gauteng","Johannesburg MM","Private Health","Female","25186","13616","38802"
"National","gauteng","Johannesburg MM","Private Health","Male","23009","11852","34861"
"National","gauteng","Johannesburg MM","Public Health","Female","46089","16748","62837"
"National","gauteng","Johannesburg MM","Public Health","Male","37363","13105","50468"
"National","gauteng","Sedibeng DM","Private Health","Female","1575","1004","2579"
"National","gauteng","Sedibeng DM","Private Health","Male","1411","683","2094"
"National","gauteng","Sedibeng DM","Public Health","Female","13685","5868","19553"
"National","gauteng","Sedibeng DM","Public Health","Male","10803","4520","15323"
"National","gauteng","Tshwane MM","Private Health","Female","11392","6564","17956"
"National","gauteng","Tshwane MM","Private Health","Male","10850","5950","16800"
"National","gauteng","Tshwane MM","Public Health","Female","39846","18637","58483"
"National","gauteng","Tshwane MM","Public Health","Male","30848","13120","43968"
"National","gauteng","West Rand DM","Private Health","Female","2163","1493","3656"
"National","gauteng","West Rand DM","Private Health","Male","1803","1222","3025"
"National","gauteng","West Rand DM","Public Health","Female","17406","8794","26200"
"National","gauteng","West Rand DM","Public Health","Male","14238","6575","20813"
"National","kwazulu-natal","Amajuba DM","Private Health","Female","210","71","281"
"National","kwazulu-natal","Amajuba DM","Private Health","Male","182","56","238"
"National","kwazulu-natal","Amajuba DM","Public Health","Female","6501","2816","9317"
"National","kwazulu-natal","Amajuba DM","Public Health","Male","4193","1743","5936"
"National","kwazulu-natal","eThekwini MM","Private Health","Female","11684","6865","18549"
"National","kwazulu-natal","eThekwini MM","Private Health","Male","10904","6104","17008"
"National","kwazulu-natal","eThekwini MM","Public Health","Female","14414","5534","19948"
"National","kwazulu-natal","eThekwini MM","Public Health","Male","11769","4449","16218"
"National","kwazulu-natal","Harry Gwala DM","Private Health","Female","351","162","513"
"National","kwazulu-natal","Harry Gwala DM","Private Health","Male","341","133","474"
"National","kwazulu-natal","Harry Gwala DM","Public Health","Female","12928","7739","20667"
"National","kwazulu-natal","Harry Gwala DM","Public Health","Male","10113","5606","15719"
"National","kwazulu-natal","iLembe DM","Private Health","Female","540","329","869"
"National","kwazulu-natal","iLembe DM","Private Health","Male","479","276","755"
"National","kwazulu-natal","iLembe DM","Public Health","Female","8280","4119","12399"
"National","kwazulu-natal","iLembe DM","Public Health","Male","4893","2206","7099"
"National","kwazulu-natal","King Cetshwayo DM","Private Health","Female","328","131","459"
"National","kwazulu-natal","King Cetshwayo DM","Private Health","Male","302","91","393"
"National","kwazulu-natal","King Cetshwayo DM","Public Health","Female","12297","5019","17316"
"National","kwazulu-natal","King Cetshwayo DM","Public Health","Male","7992","3063","11055"
"National","kwazulu-natal","Ugu DM","Private Health","Female","892","552","1444"
"National","kwazulu-natal","Ugu DM","Private Health","Male","711","421","1132"
"National","kwazulu-natal","Ugu DM","Public Health","Female","12314","5132","17446"
"National","kwazulu-natal","Ugu DM","Public Health","Male","7967","2773","10740"
"National","kwazulu-natal","uMgungundlovu DM","Private Health","Female","1595","830","2425"
"National","kwazulu-natal","uMgungundlovu DM","Private Health","Male","1484","757","2241"
"National","kwazulu-natal","uMgungundlovu DM","Public Health","Female","12545","4964","17509"
"National","kwazulu-natal","uMgungundlovu DM","Public Health","Male","8752","3068","11820"
"National","kwazulu-natal","Umkhanyakude DM","Private Health","Female","21","5","26"
"National","kwazulu-natal","Umkhanyakude DM","Private Health","Male","24","6","30"
"National","kwazulu-natal","Umkhanyakude DM","Public Health","Female","20370","10281","30651"
"National","kwazulu-natal","Umkhanyakude DM","Public Health","Male","12906","5407","18313"
"National","kwazulu-natal","Umzinyathi DM","Private Health","Female","57","18","75"
"National","kwazulu-natal","Umzinyathi DM","Private Health","Male","33","13","46"
"National","kwazulu-natal","Umzinyathi DM","Public Health","Female","14782","6300","21082"
"National","kwazulu-natal","Umzinyathi DM","Public Health","Male","9110","3427","12537"
"National","kwazulu-natal","Uthukela DM","Private Health","Female","280","120","400"
"National","kwazulu-natal","Uthukela DM","Private Health","Male","181","75","256"
"National","kwazulu-natal","Uthukela DM","Public Health","Female","15163","6843","22006"
"National","kwazulu-natal","Uthukela DM","Public Health","Male","10240","4018","14258"
"National","kwazulu-natal","Zululand DM","Private Health","Female","59","7","66"
"National","kwazulu-natal","Zululand DM","Private Health","Male","45","4","49"
"National","kwazulu-natal","Zululand DM","Public Health","Female","23981","12789","36770"
"National","kwazulu-natal","Zululand DM","Public Health","Male","17258","8097","25355"
"National","limpopo","Capricorn DM","Private Health","Female","2573","1380","3953"
"National","limpopo","Capricorn DM","Private Health","Male","2109","1039","3148"
"National","limpopo","Capricorn DM","Public Health","Female","34556","14150","48706"
"National","limpopo","Capricorn DM","Public Health","Male","29716","10733","40449"
"National","limpopo","Mopani DM","Private Health","Female","954","470","1424"
"National","limpopo","Mopani DM","Private Health","Male","834","396","1230"
"National","limpopo","Mopani DM","Public Health","Female","36418","12590","49008"
"National","limpopo","Mopani DM","Public Health","Male","29952","9068","39020"
"National","limpopo","Sekhukhune DM","Private Health","Female","885","468","1353"
"National","limpopo","Sekhukhune DM","Private Health","Male","888","360","1248"
"National","limpopo","Sekhukhune DM","Public Health","Female","25500","9581","35081"
"National","limpopo","Sekhukhune DM","Public Health","Male","24968","8065","33033"
"National","limpopo","Vhembe DM","Private Health","Female","5828","2473","8301"
"National","limpopo","Vhembe DM","Private Health","Male","4018","1454","5472"
"National","limpopo","Vhembe DM","Public Health","Female","32291","10262","42553"
"National","limpopo","Vhembe DM","Public Health","Male","26882","7331","34213"
"National","limpopo","Waterberg DM","Private Health","Female","1235","510","1745"
"National","limpopo","Waterberg DM","Private Health","Male","1119","433","1552"
"National","limpopo","Waterberg DM","Public Health","Female","16544","6525","23069"
"National","limpopo","Waterberg DM","Public Health","Male","13767","4772","18539"
"National","mpumalanga","Ehlanzeni DM","Private Health","Female","2005","935","2940"
"National","mpumalanga","Ehlanzeni DM","Private Health","Male","1708","834","2542"
"National","mpumalanga","Ehlanzeni DM","Public Health","Female","46017","19061","65078"
"National","mpumalanga","Ehlanzeni DM","Public Health","Male","35091","12350","47441"
"National","mpumalanga","G Sibande DM","Private Health","Female","694","266","960"
"National","mpumalanga","G Sibande DM","Private Health","Male","589","246","835"
"National","mpumalanga","G Sibande DM","Public Health","Female","15395","6019","21414"
"National","mpumalanga","G Sibande DM","Public Health","Male","11865","4082","15947"
"National","mpumalanga","Nkangala DM","Private Health","Female","1049","439","1488"
"National","mpumalanga","Nkangala DM","Private Health","Male","1005","396","1401"
"National","mpumalanga","Nkangala DM","Public Health","Female","15998","6153","22151"
"National","mpumalanga","Nkangala DM","Public Health","Male","16650","5136","21786"
"National","northern cape","Frances Baard DM","Private Health","Female","1227","618","1845"
"National","northern cape","Frances Baard DM","Private Health","Male","1167","503","1670"
"National","northern cape","Frances Baard DM","Public Health","Female","6377","3103","9480"
"National","northern cape","Frances Baard DM","Public Health","Male","5148","2309","7457"
"National","northern cape","J T Gaetsewe DM","Private Health","Female","315","196","511"
"National","northern cape","J T Gaetsewe DM","Private Health","Male","272","143","415"
"National","northern cape","J T Gaetsewe DM","Public Health","Female","3279","1212","4491"
"National","northern cape","J T Gaetsewe DM","Public Health","Male","2542","899","3441"
"National","northern cape","Namakwa DM","Private Health","Female","167","98","265"
"National","northern cape","Namakwa DM","Private Health","Male","152","71","223"
"National","northern cape","Namakwa DM","Public Health","Female","1546","570","2116"
"National","northern cape","Namakwa DM","Public Health","Male","1225","432","1657"
"National","northern cape","Pixley ka Seme DM","Public Health","Female","3592","1592","5184"
"National","northern cape","Pixley ka Seme DM","Public Health","Male","2749","1143","3892"
"National","northern cape","ZF Mgcawu DM","Private Health","Female","315","109","424"
"National","northern cape","ZF Mgcawu DM","Private Health","Male","262","76","338"
"National","northern cape","ZF Mgcawu DM","Public Health","Female","3659","1578","5237"
"National","northern cape","ZF Mgcawu DM","Public Health","Male","2900","1101","4001"
"National","north west","Bojanala Platinum DM","Private Health","Female","2432","1169","3601"
"National","north west","Bojanala Platinum DM","Private Health","Male","2212","961","3173"
"National","north west","Bojanala Platinum DM","Public Health","Female","29798","12310","42108"
"National","north west","Bojanala Platinum DM","Public Health","Male","24544","8999","33543"
"National","north west","Dr K Kaunda DM","Private Health","Female","1346","658","2004"
"National","north west","Dr K Kaunda DM","Private Health","Male","1143","529","1672"
"National","north west","Dr K Kaunda DM","Public Health","Female","12577","4422","16999"
