"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538425"
"kwazulu-natal","Private Health","1238397"
"western cape","Private Health","1924444"
"limpopo","Private Health","611815"
"northern cape","Public Health","616463"
"gauteng","Private Health","4587772"
"kwazulu-natal","Public Health","4697326"
"mpumalanga","","20"
"free state","Public Health","1877859"
"north west","Public Health","1801361"
"gauteng","Public Health","5885278"
"mpumalanga","Private Health","406912"
"mpumalanga","Public Health","1956439"
"western cape","","3"
"northern cape","Private Health","158462"
"eastern cape","Private Health","695475"
"western cape","Public Health","3704541"
"limpopo","Public Health","3185392"
"limpopo","","2"
"free state","Private Health","402154"
"eastern cape","Public Health","3610310"
