"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","17"
"eastern cape","Public Health","1773"
"free state","Private Health","50"
"free state","Public Health","365"
"gauteng","Private Health","324"
"gauteng","Public Health","1149"
"kwazulu-natal","Private Health","30"
"kwazulu-natal","Public Health","727"
"limpopo","Private Health","111"
"limpopo","Public Health","1125"
"mpumalanga","Private Health","1"
"mpumalanga","Public Health","403"
"mpumalanga","","2"
"northern cape","Private Health","1"
"northern cape","Public Health","154"
"north west","Private Health","27"
"north west","Public Health","263"
"western cape","Private Health","28"
"western cape","Public Health","477"
