"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","986"
"eastern cape","Public Health","8382"
"free state","Private Health","598"
"free state","Public Health","4692"
"gauteng","Private Health","6059"
"gauteng","Public Health","9071"
"kwazulu-natal","Private Health","1194"
"kwazulu-natal","Public Health","7298"
"limpopo","Private Health","784"
"limpopo","Public Health","7230"
"mpumalanga","Private Health","515"
"mpumalanga","Public Health","3955"
"northern cape","Private Health","207"
"northern cape","Public Health","1121"
"north west","Private Health","896"
"north west","Public Health","3378"
"western cape","Private Health","2520"
"western cape","Public Health","3514"
