"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","883"
"Janssen Vaccines & Prevention B.V","free state","Adults","480"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1414"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","882"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","972"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","830"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","151"
"Janssen Vaccines & Prevention B.V","north west","Adults","384"
"Janssen Vaccines & Prevention B.V","western cape","Adults","460"
"Pfizer","eastern cape","12-17 Years","1037"
"Pfizer","eastern cape","Adults","990"
"Pfizer","free state","12-17 Years","975"
"Pfizer","free state","Adults","551"
"Pfizer","gauteng","12-17 Years","1439"
"Pfizer","gauteng","Adults","2840"
"Pfizer","kwazulu-natal","12-17 Years","1268"
"Pfizer","kwazulu-natal","Adults","1369"
"Pfizer","limpopo","12-17 Years","893"
"Pfizer","limpopo","Adults","735"
"Pfizer","mpumalanga","12-17 Years","325"
"Pfizer","mpumalanga","Adults","420"
"Pfizer","northern cape","12-17 Years","62"
"Pfizer","northern cape","Adults","155"
"Pfizer","north west","12-17 Years","837"
"Pfizer","north west","Adults","498"
"Pfizer","western cape","12-17 Years","105"
"Pfizer","western cape","Adults","889"
