"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10677","4971","15648"
"National","eastern cape","Private Health","Male","8922","3797","12719"
"National","eastern cape","Public Health","Female","134974","39438","174412"
"National","eastern cape","Public Health","Male","109210","26592","135802"
"National","free state","Private Health","Female","9077","4180","13257"
"National","free state","Private Health","Male","7429","3214","10643"
"National","free state","Public Health","Female","81271","35475","116746"
"National","free state","Public Health","Male","69093","26012","95105"
"National","gauteng","Private Health","Female","54220","29169","83389"
"National","gauteng","Private Health","Male","49369","24770","74139"
"National","gauteng","Public Health","Female","155292","57883","213175"
"National","gauteng","Public Health","Male","122277","42152","164429"
"National","kwazulu-natal","Private Health","Female","17496","9517","27013"
"National","kwazulu-natal","Private Health","Male","15746","8018","23764"
"National","kwazulu-natal","Public Health","Female","136735","48856","185591"
"National","kwazulu-natal","Public Health","Male","92434","29070","121504"
"National","limpopo","Private Health","Female","11184","4613","15797"
"National","limpopo","Private Health","Male","8740","3309","12049"
"National","limpopo","Public Health","Female","125225","38088","163313"
"National","limpopo","Public Health","Male","105642","28151","133793"
"National","mpumalanga","Private Health","Female","4029","1646","5675"
"National","mpumalanga","Private Health","Male","3517","1420","4937"
"National","mpumalanga","Public Health","Female","70162","19816","89978"
"National","mpumalanga","Public Health","Male","58441","14183","72624"
"National","northern cape","Private Health","Female","2149","1008","3157"
"National","northern cape","Private Health","Male","1948","745","2693"
"National","northern cape","Public Health","Female","14317","4020","18337"
"National","northern cape","Public Health","Male","11281","2991","14272"
"National","north west","Private Health","Female","5286","2371","7657"
"National","north west","Private Health","Male","4766","1980","6746"
"National","north west","Public Health","Female","76422","24397","100819"
"National","north west","Public Health","Male","62840","17375","80215"
"National","western cape","Private Health","Female","23705","11964","35669"
"National","western cape","Private Health","Male","21192","10213","31405"
"National","western cape","Public Health","Female","46868","15195","62063"
"National","western cape","Public Health","Male","38853","12358","51211"
