"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","521842"
"kwazulu-natal","Private Health","1201790"
"western cape","Private Health","1864824"
"limpopo","Private Health","580885"
"northern cape","Public Health","558135"
"gauteng","Private Health","4423389"
"kwazulu-natal","Public Health","4339188"
"free state","Public Health","1759478"
"north west","Public Health","1707549"
"gauteng","Public Health","5596902"
"mpumalanga","Private Health","389255"
"mpumalanga","Public Health","1769271"
"northern cape","Private Health","152589"
"eastern cape","Private Health","671489"
"western cape","Public Health","3575289"
"limpopo","Public Health","2952670"
"free state","Private Health","384470"
"eastern cape","Public Health","3291648"
