"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","682","0","1538","2220"
"Janssen Vaccines & Prevention B.V","free state","Adults","338","0","752","1090"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1265","0","1002","2267"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","998","0","1755","2753"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","779","0","1334","2113"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","687","0","848","1535"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","138","0","307","445"
"Janssen Vaccines & Prevention B.V","north west","Adults","363","0","665","1028"
"Janssen Vaccines & Prevention B.V","western cape","Adults","424","0","534","958"
"Pfizer","eastern cape","12-17 Years","2139","1322","0","3461"
"Pfizer","eastern cape","Adults","636","976","1869","3481"
"Pfizer","free state","12-17 Years","699","784","0","1483"
"Pfizer","free state","Adults","377","522","926","1825"
"Pfizer","gauteng","12-17 Years","1179","1385","0","2564"
"Pfizer","gauteng","Adults","1579","2049","3200","6828"
"Pfizer","kwazulu-natal","12-17 Years","1233","1363","0","2596"
"Pfizer","kwazulu-natal","Adults","1292","1738","1943","4973"
"Pfizer","limpopo","12-17 Years","1804","964","0","2768"
"Pfizer","limpopo","Adults","474","695","1569","2738"
"Pfizer","mpumalanga","12-17 Years","540","297","0","837"
"Pfizer","mpumalanga","Adults","380","450","672","1502"
"Pfizer","northern cape","12-17 Years","535","222","0","757"
"Pfizer","northern cape","Adults","161","185","306","652"
"Pfizer","north west","12-17 Years","475","389","0","864"
"Pfizer","north west","Adults","267","373","644","1284"
"Pfizer","western cape","12-17 Years","123","105","0","228"
"Pfizer","western cape","Adults","496","711","2312","3519"
