"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","633"
"eastern cape","Public Health","8529"
"free state","Private Health","585"
"free state","Public Health","3813"
"gauteng","Private Health","3913"
"gauteng","Public Health","7746"
"kwazulu-natal","Private Health","867"
"kwazulu-natal","Public Health","9455"
"limpopo","Private Health","640"
"limpopo","Public Health","6979"
"mpumalanga","Private Health","444"
"mpumalanga","Public Health","3430"
"northern cape","Private Health","245"
"northern cape","Public Health","1609"
"north west","Private Health","580"
"north west","Public Health","2596"
"western cape","Private Health","1740"
"western cape","Public Health","2965"
