"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","152","37","189"
"National","eastern cape","Amathole DM","Private Health","Male","95","18","113"
"National","eastern cape","Amathole DM","Public Health","Female","14194","5140","19334"
"National","eastern cape","Amathole DM","Public Health","Male","12078","4250","16328"
"National","eastern cape","A Nzo DM","Public Health","Female","31168","15591","46759"
"National","eastern cape","A Nzo DM","Public Health","Male","27213","11841","39054"
"National","eastern cape","Buffalo City MM","Private Health","Female","2855","1177","4032"
"National","eastern cape","Buffalo City MM","Private Health","Male","2327","897","3224"
"National","eastern cape","Buffalo City MM","Public Health","Female","16218","9300","25518"
"National","eastern cape","Buffalo City MM","Public Health","Male","12616","6403","19019"
"National","eastern cape","C Hani DM","Private Health","Female","222","106","328"
"National","eastern cape","C Hani DM","Private Health","Male","156","77","233"
"National","eastern cape","C Hani DM","Public Health","Female","13896","3623","17519"
"National","eastern cape","C Hani DM","Public Health","Male","11172","2641","13813"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","659","365","1024"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","499","218","717"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7856","2728","10584"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","7036","2204","9240"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","4082","2049","6131"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3694","1712","5406"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15579","6366","21945"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12145","4482","16627"
"National","eastern cape","O Tambo DM","Private Health","Female","312","121","433"
"National","eastern cape","O Tambo DM","Private Health","Male","250","112","362"
"National","eastern cape","O Tambo DM","Public Health","Female","43717","16870","60587"
"National","eastern cape","O Tambo DM","Public Health","Male","36574","12570","49144"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1577","1083","2660"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1371","821","2192"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9609","5367","14976"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","8069","3986","12055"
"National","free state","Fezile Dabi DM","Private Health","Female","471","342","813"
"National","free state","Fezile Dabi DM","Private Health","Male","448","285","733"
"National","free state","Fezile Dabi DM","Public Health","Female","13233","5030","18263"
"National","free state","Fezile Dabi DM","Public Health","Male","10783","3647","14430"
"National","free state","Lejweleputswa DM","Private Health","Female","3790","1456","5246"
"National","free state","Lejweleputswa DM","Private Health","Male","3024","1095","4119"
"National","free state","Lejweleputswa DM","Public Health","Female","14099","5304","19403"
"National","free state","Lejweleputswa DM","Public Health","Male","12086","3739","15825"
"National","free state","Mangaung MM","Private Health","Female","2966","1905","4871"
"National","free state","Mangaung MM","Private Health","Male","2442","1444","3886"
"National","free state","Mangaung MM","Public Health","Female","23507","13890","37397"
"National","free state","Mangaung MM","Public Health","Male","20986","11193","32179"
"National","free state","T Mofutsanyana DM","Private Health","Female","1856","1132","2988"
"National","free state","T Mofutsanyana DM","Private Health","Male","1589","918","2507"
"National","free state","T Mofutsanyana DM","Public Health","Female","26855","15430","42285"
"National","free state","T Mofutsanyana DM","Public Health","Male","23067","11609","34676"
"National","free state","Xhariep DM","Public Health","Female","4276","1196","5472"
"National","free state","Xhariep DM","Public Health","Male","3501","817","4318"
"National","gauteng","Ekurhuleni MM","Private Health","Female","10807","6586","17393"
"National","gauteng","Ekurhuleni MM","Private Health","Male","9978","5621","15599"
