"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538058"
"kwazulu-natal","Private Health","1237960"
"western cape","Private Health","1923911"
"limpopo","Private Health","611084"
"northern cape","Public Health","613461"
"gauteng","Private Health","4583636"
"kwazulu-natal","Public Health","4686848"
"mpumalanga","","19"
"free state","Public Health","1874134"
"north west","Public Health","1795500"
"gauteng","Public Health","5868572"
"mpumalanga","Private Health","406869"
"mpumalanga","Public Health","1947721"
"western cape","","2"
"northern cape","Private Health","158360"
"eastern cape","Private Health","695215"
"western cape","Public Health","3696037"
"limpopo","Public Health","3170925"
"free state","Private Health","401920"
"eastern cape","Public Health","3585754"
