"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","19"
"eastern cape","Public Health","1215"
"free state","Private Health","60"
"free state","Public Health","460"
"gauteng","Private Health","260"
"gauteng","Public Health","984"
"kwazulu-natal","Private Health","38"
"kwazulu-natal","Public Health","609"
"limpopo","Private Health","92"
"limpopo","Public Health","799"
"mpumalanga","Private Health","7"
"mpumalanga","Public Health","709"
"northern cape","Private Health","7"
"northern cape","Public Health","252"
"north west","Private Health","24"
"north west","Public Health","156"
"western cape","Private Health","31"
"western cape","Public Health","456"
