"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","115"
"eastern cape","Public Health","2414"
"free state","Private Health","113"
"free state","Public Health","965"
"gauteng","Private Health","1034"
"gauteng","Public Health","1337"
"kwazulu-natal","Private Health","216"
"kwazulu-natal","Public Health","1882"
"limpopo","Private Health","207"
"limpopo","Public Health","724"
"mpumalanga","Private Health","285"
"mpumalanga","Public Health","1113"
"northern cape","Private Health","17"
"northern cape","Public Health","1007"
"north west","Private Health","85"
"north west","Public Health","353"
"western cape","Private Health","414"
"western cape","Public Health","927"
