"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10436","5108","15544"
"National","eastern cape","Private Health","Male","8833","3970","12803"
"National","eastern cape","Public Health","Female","144425","52392","196817"
"National","eastern cape","Public Health","Male","118520","36953","155473"
"National","free state","Private Health","Female","9137","4608","13745"
"National","free state","Private Health","Male","7507","3531","11038"
"National","free state","Public Health","Female","83656","40200","123856"
"National","free state","Public Health","Male","71516","30131","101647"
"National","gauteng","Private Health","Female","53566","30342","83908"
"National","gauteng","Private Health","Male","49191","25992","75183"
"National","gauteng","Public Health","Female","162916","65717","228633"
"National","gauteng","Public Health","Male","128741","48224","176965"
"National","kwazulu-natal","Private Health","Female","17105","9674","26779"
"National","kwazulu-natal","Private Health","Male","15485","8257","23742"
"National","kwazulu-natal","Public Health","Female","156451","65748","222199"
"National","kwazulu-natal","Public Health","Male","106525","39886","146411"
"National","limpopo","Private Health","Female","11780","5176","16956"
"National","limpopo","Private Health","Male","9185","3623","12808"
"National","limpopo","Public Health","Female","141516","48247","189763"
"National","limpopo","Public Health","Male","122654","35976","158630"
"National","mpumalanga","Private Health","Female","4006","1728","5734"
"National","mpumalanga","Private Health","Male","3487","1520","5007"
"National","mpumalanga","Public Health","Female","75787","25850","101637"
"National","mpumalanga","Public Health","Male","62854","18025","80879"
"National","northern cape","Private Health","Female","2128","1064","3192"
"National","northern cape","Private Health","Male","1952","814","2766"
"National","northern cape","Public Health","Female","17623","6267","23890"
"National","northern cape","Public Health","Male","13791","4606","18397"
"National","north west","Private Health","Female","5216","2434","7650"
"National","north west","Private Health","Male","4730","2042","6772"
"National","north west","Public Health","Female","78783","27981","106764"
"National","north west","Public Health","Male","65276","20280","85556"
"National","western cape","Private Health","Female","23553","12753","36306"
"National","western cape","Private Health","Male","21208","11002","32210"
"National","western cape","Public Health","Female","46979","15929","62908"
"National","western cape","Public Health","Male","39251","13071","52322"
