"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","533713"
"kwazulu-natal","Private Health","1228330"
"western cape","Private Health","1908860"
"limpopo","Private Health","599821"
"northern cape","Public Health","600135"
"gauteng","Private Health","4535628"
"kwazulu-natal","Public Health","4590463"
"free state","Public Health","1839562"
"north west","Public Health","1773233"
"gauteng","Public Health","5781994"
"mpumalanga","Private Health","402985"
"mpumalanga","Public Health","1889834"
"northern cape","Private Health","156567"
"eastern cape","Private Health","688022"
"western cape","Public Health","3652194"
"limpopo","Public Health","3100368"
"free state","Private Health","396620"
"eastern cape","Public Health","3467736"
