"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","916300"
"Janssen Vaccines & Prevention B.V","free state","Adults","486682"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1542024"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1241014"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1078049"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","826334"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","215582"
"Janssen Vaccines & Prevention B.V","north west","Adults","712939"
"Janssen Vaccines & Prevention B.V","western cape","Adults","749764"
"Pfizer","eastern cape","12-17 Years","98423"
"Pfizer","eastern cape","Adults","1124825"
"Pfizer","free state","12-17 Years","78470"
"Pfizer","free state","Adults","591476"
"Pfizer","gauteng","12-17 Years","170275"
"Pfizer","gauteng","Adults","3383890"
"Pfizer","kwazulu-natal","12-17 Years","123565"
"Pfizer","kwazulu-natal","Adults","1645836"
"Pfizer","limpopo","12-17 Years","93022"
"Pfizer","limpopo","Adults","875985"
"Pfizer","mpumalanga","12-17 Years","47123"
"Pfizer","mpumalanga","Adults","472197"
"Pfizer","northern cape","12-17 Years","12751"
"Pfizer","northern cape","Adults","193629"
"Pfizer","north west","12-17 Years","52737"
"Pfizer","north west","Adults","538760"
"Pfizer","western cape","12-17 Years","52755"
"Pfizer","western cape","Adults","1861124"
