"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","915180"
"Janssen Vaccines & Prevention B.V","free state","Adults","486234"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1539193"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1237572"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1076927"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","823461"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","215042"
"Janssen Vaccines & Prevention B.V","north west","Adults","712308"
"Janssen Vaccines & Prevention B.V","western cape","Adults","748914"
"Pfizer","eastern cape","12-17 Years","95588"
"Pfizer","eastern cape","Adults","1121934"
"Pfizer","free state","12-17 Years","77794"
"Pfizer","free state","Adults","589996"
"Pfizer","gauteng","12-17 Years","170322"
"Pfizer","gauteng","Adults","3379094"
"Pfizer","kwazulu-natal","12-17 Years","121502"
"Pfizer","kwazulu-natal","Adults","1641474"
"Pfizer","limpopo","12-17 Years","92081"
"Pfizer","limpopo","Adults","874547"
"Pfizer","mpumalanga","12-17 Years","46537"
"Pfizer","mpumalanga","Adults","470401"
"Pfizer","northern cape","12-17 Years","11866"
"Pfizer","northern cape","Adults","192987"
"Pfizer","north west","12-17 Years","52543"
"Pfizer","north west","Adults","538022"
"Pfizer","western cape","12-17 Years","52627"
"Pfizer","western cape","Adults","1859173"
