"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10481","5125","15606"
"National","eastern cape","Private Health","Male","8856","3982","12838"
"National","eastern cape","Public Health","Female","143834","50910","194744"
"National","eastern cape","Public Health","Male","117923","35571","153494"
"National","free state","Private Health","Female","9159","4605","13764"
"National","free state","Private Health","Male","7512","3492","11004"
"National","free state","Public Health","Female","83724","39867","123591"
"National","free state","Public Health","Male","71579","29830","101409"
"National","gauteng","Private Health","Female","53738","30370","84108"
"National","gauteng","Private Health","Male","49338","25992","75330"
"National","gauteng","Public Health","Female","163258","65764","229022"
"National","gauteng","Public Health","Male","128979","48196","177175"
"National","kwazulu-natal","Private Health","Female","17172","9711","26883"
"National","kwazulu-natal","Private Health","Male","15532","8267","23799"
"National","kwazulu-natal","Public Health","Female","156185","64392","220577"
"National","kwazulu-natal","Public Health","Male","106357","39132","145489"
"National","limpopo","Private Health","Female","11806","5177","16983"
"National","limpopo","Private Health","Male","9208","3632","12840"
"National","limpopo","Public Health","Female","140900","47615","188515"
"National","limpopo","Public Health","Male","122402","35657","158059"
"National","mpumalanga","Private Health","Female","4027","1731","5758"
"National","mpumalanga","Private Health","Male","3507","1523","5030"
"National","mpumalanga","Public Health","Female","75467","25487","100954"
"National","mpumalanga","Public Health","Male","62711","17796","80507"
"National","northern cape","Private Health","Female","2139","1070","3209"
"National","northern cape","Private Health","Male","1966","818","2784"
"National","northern cape","Public Health","Female","17163","5755","22918"
"National","northern cape","Public Health","Male","13418","4223","17641"
"National","north west","Private Health","Female","5243","2446","7689"
"National","north west","Private Health","Male","4751","2051","6802"
"National","north west","Public Health","Female","78890","27876","106766"
"National","north west","Public Health","Male","65341","20170","85511"
"National","western cape","Private Health","Female","23627","12739","36366"
"National","western cape","Private Health","Male","21256","10994","32250"
"National","western cape","Public Health","Female","46967","15872","62839"
"National","western cape","Public Health","Male","39244","13022","52266"
