"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","533136"
"kwazulu-natal","Private Health","1226775"
"western cape","Private Health","1905748"
"limpopo","Private Health","598363"
"northern cape","Public Health","594777"
"gauteng","Private Health","4528176"
"kwazulu-natal","Public Health","4571799"
"free state","Public Health","1833344"
"north west","Public Health","1769663"
"gauteng","Public Health","5771996"
"mpumalanga","Private Health","401355"
"mpumalanga","Public Health","1879067"
"northern cape","Private Health","156393"
"eastern cape","Private Health","686842"
"western cape","Public Health","3646532"
"limpopo","Public Health","3092445"
"free state","Private Health","396017"
"eastern cape","Public Health","3452204"
