"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10581","5118","15699"
"National","eastern cape","Private Health","Male","8911","3948","12859"
"National","eastern cape","Public Health","Female","144380","50676","195056"
"National","eastern cape","Public Health","Male","118346","35396","153742"
"National","free state","Private Health","Female","9208","4555","13763"
"National","free state","Private Health","Male","7538","3465","11003"
"National","free state","Public Health","Female","84047","39696","123743"
"National","free state","Public Health","Male","71832","29673","101505"
"National","gauteng","Private Health","Female","53904","30042","83946"
"National","gauteng","Private Health","Male","49488","25697","75185"
"National","gauteng","Public Health","Female","163932","65411","229343"
"National","gauteng","Public Health","Male","129454","47878","177332"
"National","kwazulu-natal","Private Health","Female","17313","9687","27000"
"National","kwazulu-natal","Private Health","Male","15648","8241","23889"
"National","kwazulu-natal","Public Health","Female","156202","63401","219603"
"National","kwazulu-natal","Public Health","Male","106389","38657","145046"
"National","limpopo","Private Health","Female","11857","5135","16992"
"National","limpopo","Private Health","Male","9231","3578","12809"
"National","limpopo","Public Health","Female","141311","47203","188514"
"National","limpopo","Public Health","Male","122751","35353","158104"
"National","mpumalanga","Private Health","Female","4041","1717","5758"
"National","mpumalanga","Private Health","Male","3528","1497","5025"
"National","mpumalanga","Public Health","Female","75518","25287","100805"
"National","mpumalanga","Public Health","Male","62736","17640","80376"
"National","northern cape","Private Health","Female","2146","1064","3210"
"National","northern cape","Private Health","Male","1975","800","2775"
"National","northern cape","Public Health","Female","16999","5494","22493"
"National","northern cape","Public Health","Male","13318","4055","17373"
"National","north west","Private Health","Female","5279","2441","7720"
"National","north west","Private Health","Male","4763","2037","6800"
"National","north west","Public Health","Female","79242","27839","107081"
"National","north west","Public Health","Male","65570","20061","85631"
"National","western cape","Private Health","Female","23715","12607","36322"
"National","western cape","Private Health","Male","21339","10908","32247"
"National","western cape","Public Health","Female","47336","15809","63145"
"National","western cape","Public Health","Male","39398","12915","52313"
