"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","912908"
"Janssen Vaccines & Prevention B.V","free state","Adults","484918"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1531696"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1231224"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1075001"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","817343"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","213695"
"Janssen Vaccines & Prevention B.V","north west","Adults","710726"
"Janssen Vaccines & Prevention B.V","western cape","Adults","746866"
"Pfizer","eastern cape","12-17 Years","95138"
"Pfizer","eastern cape","Adults","1115662"
"Pfizer","free state","12-17 Years","77389"
"Pfizer","free state","Adults","586830"
"Pfizer","gauteng","12-17 Years","169028"
"Pfizer","gauteng","Adults","3366510"
"Pfizer","kwazulu-natal","12-17 Years","119986"
"Pfizer","kwazulu-natal","Adults","1631229"
"Pfizer","limpopo","12-17 Years","91269"
"Pfizer","limpopo","Adults","871106"
"Pfizer","mpumalanga","12-17 Years","46141"
"Pfizer","mpumalanga","Adults","466337"
"Pfizer","northern cape","12-17 Years","11413"
"Pfizer","northern cape","Adults","191296"
"Pfizer","north west","12-17 Years","52378"
"Pfizer","north west","Adults","535717"
"Pfizer","western cape","12-17 Years","52239"
"Pfizer","western cape","Adults","1854268"
