"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","531307"
"kwazulu-natal","Private Health","1221308"
"western cape","Private Health","1897651"
"limpopo","Private Health","595063"
"northern cape","Public Health","584685"
"gauteng","Private Health","4505469"
"kwazulu-natal","Public Health","4535444"
"free state","Public Health","1820017"
"north west","Public Health","1760180"
"gauteng","Public Health","5745319"
"mpumalanga","Private Health","397801"
"mpumalanga","Public Health","1856232"
"northern cape","Private Health","155690"
"eastern cape","Private Health","683485"
"western cape","Public Health","3633344"
"limpopo","Public Health","3078707"
"free state","Private Health","394433"
"eastern cape","Public Health","3427560"
