"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","301"
"eastern cape","Public Health","529"
"free state","Private Health","161"
"free state","Public Health","146"
"gauteng","Private Health","2656"
"gauteng","Public Health","1391"
"kwazulu-natal","Private Health","932"
"kwazulu-natal","Public Health","928"
"limpopo","Private Health","301"
"limpopo","Public Health","202"
"mpumalanga","Private Health","83"
"mpumalanga","Public Health","234"
"northern cape","Private Health","111"
"northern cape","Public Health","70"
"north west","Private Health","204"
"north west","Public Health","885"
"western cape","Private Health","707"
"western cape","Public Health","310"
