"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","65"
"Janssen Vaccines & Prevention B.V","free state","Adults","16"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","444"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","154"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","44"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","73"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","21"
"Janssen Vaccines & Prevention B.V","north west","Adults","141"
"Janssen Vaccines & Prevention B.V","western cape","Adults","62"
"Pfizer","eastern cape","12-17 Years","61"
"Pfizer","eastern cape","Adults","83"
"Pfizer","free state","12-17 Years","43"
"Pfizer","free state","Adults","38"
"Pfizer","gauteng","12-17 Years","248"
"Pfizer","gauteng","Adults","687"
"Pfizer","kwazulu-natal","12-17 Years","141"
"Pfizer","kwazulu-natal","Adults","312"
"Pfizer","limpopo","12-17 Years","46"
"Pfizer","limpopo","Adults","88"
"Pfizer","mpumalanga","12-17 Years","25"
"Pfizer","mpumalanga","Adults","30"
"Pfizer","northern cape","12-17 Years","9"
"Pfizer","northern cape","Adults","35"
"Pfizer","north west","12-17 Years","135"
"Pfizer","north west","Adults","152"
"Pfizer","western cape","12-17 Years","52"
"Pfizer","western cape","Adults","128"
