"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","915411"
"Janssen Vaccines & Prevention B.V","free state","Adults","486302"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1539663"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1238147"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1077114"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","823984"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","215142"
"Janssen Vaccines & Prevention B.V","north west","Adults","712432"
"Janssen Vaccines & Prevention B.V","western cape","Adults","749088"
"Pfizer","eastern cape","12-17 Years","95756"
"Pfizer","eastern cape","Adults","1122422"
"Pfizer","free state","12-17 Years","77785"
"Pfizer","free state","Adults","590235"
"Pfizer","gauteng","12-17 Years","170297"
"Pfizer","gauteng","Adults","3380038"
"Pfizer","kwazulu-natal","12-17 Years","121612"
"Pfizer","kwazulu-natal","Adults","1642260"
"Pfizer","limpopo","12-17 Years","92079"
"Pfizer","limpopo","Adults","874743"
"Pfizer","mpumalanga","12-17 Years","46581"
"Pfizer","mpumalanga","Adults","470733"
"Pfizer","northern cape","12-17 Years","11870"
"Pfizer","northern cape","Adults","193100"
"Pfizer","north west","12-17 Years","52537"
"Pfizer","north west","Adults","538136"
"Pfizer","western cape","12-17 Years","52624"
"Pfizer","western cape","Adults","1859529"
