"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","533237"
"kwazulu-natal","Private Health","1227066"
"western cape","Private Health","1906390"
"limpopo","Private Health","598578"
"northern cape","Public Health","595484"
"gauteng","Private Health","4529628"
"kwazulu-natal","Public Health","4574745"
"free state","Public Health","1834220"
"north west","Public Health","1770167"
"gauteng","Public Health","5773795"
"mpumalanga","Private Health","401655"
"mpumalanga","Public Health","1880895"
"northern cape","Private Health","156422"
"eastern cape","Private Health","687073"
"western cape","Public Health","3647430"
"limpopo","Public Health","3093368"
"free state","Private Health","396095"
"eastern cape","Public Health","3454572"
