"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","915411"
"eastern cape","Pfizer","1334701"
"free state","Johnson & Johnson","486302"
"free state","Pfizer","671902"
"gauteng","Johnson & Johnson","1539662"
"gauteng","Pfizer","3901412"
"kwazulu-natal","Johnson & Johnson","1238146"
"kwazulu-natal","Pfizer","1974940"
"limpopo","Johnson & Johnson","1077114"
"limpopo","Pfizer","1039503"
"mpumalanga","Johnson & Johnson","823984"
"mpumalanga","Pfizer","570630"
"northern cape","Johnson & Johnson","215142"
"northern cape","Pfizer","225671"
"north west","Johnson & Johnson","712432"
"north west","Pfizer","621068"
"western cape","Johnson & Johnson","749088"
"western cape","Pfizer","2117054"
