"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","26"
"eastern cape","Public Health","1092"
"free state","Private Health","182"
"free state","Public Health","384"
"gauteng","Private Health","288"
"gauteng","Public Health","1406"
"kwazulu-natal","Private Health","10"
"kwazulu-natal","Public Health","879"
"limpopo","Private Health","52"
"limpopo","Public Health","761"
"mpumalanga","Private Health","16"
"mpumalanga","Public Health","728"
"northern cape","Private Health","9"
"northern cape","Public Health","181"
"north west","Private Health","27"
"north west","Public Health","447"
"western cape","Private Health","19"
"western cape","Public Health","520"
