"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","887868"
"Janssen Vaccines & Prevention B.V","free state","Adults","473121"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1475034"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1187800"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1048241"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","782308"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","208524"
"Janssen Vaccines & Prevention B.V","north west","Adults","694285"
"Janssen Vaccines & Prevention B.V","western cape","Adults","730131"
"Pfizer","eastern cape","12-17 Years","53509"
"Pfizer","eastern cape","Adults","1080646"
"Pfizer","free state","12-17 Years","58309"
"Pfizer","free state","Adults","567467"
"Pfizer","gauteng","12-17 Years","133148"
"Pfizer","gauteng","Adults","3273036"
"Pfizer","kwazulu-natal","12-17 Years","70574"
"Pfizer","kwazulu-natal","Adults","1564852"
"Pfizer","limpopo","12-17 Years","61564"
"Pfizer","limpopo","Adults","844104"
"Pfizer","mpumalanga","12-17 Years","29846"
"Pfizer","mpumalanga","Adults","448244"
"Pfizer","northern cape","12-17 Years","7492"
"Pfizer","northern cape","Adults","185136"
"Pfizer","north west","12-17 Years","38509"
"Pfizer","north west","Adults","518802"
"Pfizer","western cape","12-17 Years","47788"
"Pfizer","western cape","Adults","1821642"
