"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","508395"
"kwazulu-natal","Private Health","1178134"
"western cape","Private Health","1825284"
"limpopo","Private Health","566411"
"northern cape","Public Health","539640"
"gauteng","Private Health","4328838"
"kwazulu-natal","Public Health","4175616"
"mpumalanga","","5"
"free state","Public Health","1701540"
"north west","Public Health","1655545"
"gauteng","Public Health","5452476"
"mpumalanga","Private Health","381590"
"mpumalanga","Public Health","1702316"
"northern cape","Private Health","149138"
"eastern cape","Private Health","657215"
"western cape","Public Health","3522050"
"limpopo","Public Health","2846764"
"free state","Private Health","373305"
"eastern cape","Public Health","3162722"
